A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 1
delta = 0.001
dt_max = 6.42e-6
duration = 5e-5
l = 1.5e-06
m = 12
t_grid = 500000
t_skip = 1
tol_energy = 2e-7
tol_phi = 1e-3
tol_stability = 1
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99998358e-01;9.99198334e-01;9.43080914e-01;8.16320164e-01;6.64167802e-01;5.40983045e-01;4.93090490e-01;5.40983045e-01;6.64167802e-01;8.16320164e-01;9.43080914e-01;9.99198334e-01;9.99998358e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.16623275e-03;4.45583251e-05;5.62361303e-04;6.20047454e+04;3.16303415e+02;5.41502515e+05;1.61277979e-08;6.32304271e-10;1.84671349e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99998159e-01;9.99184535e-01;9.43061811e-01;8.16280138e-01;6.63987171e-01;5.40458140e-01;4.92296830e-01;5.40458140e-01;6.63987171e-01;8.16280138e-01;9.43061811e-01;9.99184535e-01;9.99998159e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.17110237e-03;4.46758870e-05;5.63019358e-04;6.24344337e+04;3.19843569e+02;5.45675421e+05;1.60168026e-08;6.25305678e-10;1.83259125e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99997956e-01;9.99170738e-01;9.43042703e-01;8.16240061e-01;6.63806179e-01;5.39930843e-01;4.91497669e-01;5.39930843e-01;6.63806179e-01;8.16240061e-01;9.43042703e-01;9.99170738e-01;9.99997956e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.17602158e-03;4.47943744e-05;5.63679934e-04;6.28704241e+04;3.23449336e+02;5.49917071e+05;1.59057301e-08;6.18334861e-10;1.81845601e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99997750e-01;9.99156943e-01;9.43023589e-01;8.16199935e-01;6.63624824e-01;5.39401131e-01;4.90692928e-01;5.39401131e-01;6.63624824e-01;8.16199935e-01;9.43023589e-01;9.99156943e-01;9.99997750e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.18099130e-03;4.49138008e-05;5.64343053e-04;6.33128620e+04;3.27122473e+02;5.54229174e+05;1.57945790e-08;6.11391808e-10;1.80430776e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99997541e-01;9.99143150e-01;9.43004470e-01;8.16159758e-01;6.63443103e-01;5.38868982e-01;4.89882523e-01;5.38868982e-01;6.63443103e-01;8.16159758e-01;9.43004470e-01;9.99143150e-01;9.99997541e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.18601243e-03;4.50341800e-05;5.65008738e-04;6.37618969e+04;3.30864802e+02;5.58613496e+05;1.56833477e-08;6.04476508e-10;1.79014651e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99997329e-01;9.99129360e-01;9.42985347e-01;8.16119532e-01;6.63261016e-01;5.38334373e-01;4.89066371e-01;5.38334373e-01;6.63261016e-01;8.16119532e-01;9.42985347e-01;9.99129360e-01;9.99997329e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.19108593e-03;4.51555263e-05;5.65677012e-04;6.42176837e+04;3.34678210e+02;5.63071865e+05;1.55720347e-08;5.97588950e-10;1.77597224e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99997113e-01;9.99115571e-01;9.42966218e-01;8.16079255e-01;6.63078560e-01;5.37797280e-01;4.88244384e-01;5.37797280e-01;6.63078560e-01;8.16079255e-01;9.42966218e-01;9.99115571e-01;9.99997113e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.19621277e-03;4.52778541e-05;5.66347900e-04;6.46803817e+04;3.38564652e+02;5.67606169e+05;1.54606385e-08;5.90729123e-10;1.76178494e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99996894e-01;9.99101784e-01;9.42947083e-01;8.16038927e-01;6.62895736e-01;5.37257680e-01;4.87416475e-01;5.37257680e-01;6.62895736e-01;8.16038927e-01;9.42947083e-01;9.99101784e-01;9.99996894e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.20139396e-03;4.54011784e-05;5.67021425e-04;6.51501557e+04;3.42526156e+02;5.72218361e+05;1.53491575e-08;5.83897016e-10;1.74758461e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99996671e-01;9.99087999e-01;9.42927944e-01;8.15998549e-01;6.62712540e-01;5.36715548e-01;4.86582553e-01;5.36715548e-01;6.62712540e-01;8.15998549e-01;9.42927944e-01;9.99087999e-01;9.99996671e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.20663051e-03;4.55255142e-05;5.67697613e-04;6.56271758e+04;3.46564822e+02;5.76910460e+05;1.52375900e-08;5.77092617e-10;1.73337124e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99996446e-01;9.99074216e-01;9.42908799e-01;8.15958121e-01;6.62528972e-01;5.36170862e-01;4.85742526e-01;5.36170862e-01;6.62528972e-01;8.15958121e-01;9.42908799e-01;9.99074216e-01;9.99996446e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.21192349e-03;4.56508771e-05;5.68376489e-04;6.61116177e+04;3.50682830e+02;5.81684559e+05;1.51259345e-08;5.70315917e-10;1.71914483e-06
