A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 6.42e-6
duration = 5e-5
l = 1.5e-06
m = 12
t_grid = 500000
t_skip = 256
tol_energy = 2e-7
tol_phi = 1e-4
tol_stability = 1
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999990e-01;9.99995952e-01;9.99046675e-01;9.42870443e-01;8.15876623e-01;6.62157130e-01;5.35049520e-01;4.83986605e-01;5.35049520e-01;6.62157130e-01;8.15876623e-01;9.42870443e-01;9.99046675e-01;9.99995952e-01;9.99999990e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.22297381e-03;4.59117663e-05;5.69773879e-04;6.71366726e+04;3.62661934e+02;5.91820868e+05;1.48949890e-09;5.51477784e-10;1.68970047e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999988e-01;9.99995474e-01;9.99019125e-01;9.42832111e-01;8.15795358e-01;6.61786961e-01;5.33938956e-01;4.82254860e-01;5.33938956e-01;6.61786961e-01;8.15795358e-01;9.42832111e-01;9.99019125e-01;9.99995474e-01;9.99999988e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.23401274e-03;4.61708665e-05;5.71154659e-04;6.81654412e+04;3.71665297e+02;6.02029851e+05;1.46701904e-09;5.38118575e-10;1.66104720e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999986e-01;9.99994983e-01;9.98991582e-01;9.42793758e-01;8.15713887e-01;6.61415265e-01;5.32817575e-01;4.80496349e-01;5.32817575e-01;6.61415265e-01;8.15713887e-01;9.42793758e-01;9.98991582e-01;9.99994983e-01;9.99999986e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.24530286e-03;4.64344558e-05;5.72546839e-04;6.92281711e+04;3.81046881e+02;6.12617692e+05;1.44449866e-09;5.24869800e-10;1.63233941e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999983e-01;9.99994478e-01;9.98964048e-01;9.42755384e-01;8.15632211e-01;6.61042028e-01;5.31685157e-01;4.78710180e-01;5.31685157e-01;6.61042028e-01;8.15632211e-01;9.42755384e-01;9.98964048e-01;9.99994478e-01;9.99999983e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.25685453e-03;4.67026827e-05;5.73950651e-04;7.03266448e+04;3.90830060e+02;6.23605866e+05;1.42193617e-09;5.11731364e-10;1.60357696e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999981e-01;9.99993960e-01;9.98936521e-01;9.42716989e-01;8.15550328e-01;6.60667236e-01;5.30541477e-01;4.76895415e-01;5.30541477e-01;6.60667236e-01;8.15550328e-01;9.42716989e-01;9.98936521e-01;9.99993960e-01;9.99999981e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.26867875e-03;4.69757031e-05;5.75366334e-04;7.14627750e+04;4.01040158e+02;6.35017500e+05;1.39932993e-09;4.98703175e-10;1.57475975e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999977e-01;9.99993429e-01;9.98909002e-01;9.42678571e-01;8.15468237e-01;6.60290878e-01;5.29386303e-01;4.75051063e-01;5.29386303e-01;6.60290878e-01;8.15468237e-01;9.42678571e-01;9.98909002e-01;9.99993429e-01;9.99999977e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.28078720e-03;4.72536814e-05;5.76794139e-04;7.26386158e+04;4.11704649e+02;6.46877537e+05;1.37667822e-09;4.85785139e-10;1.54588766e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999974e-01;9.99992885e-01;9.98881491e-01;9.42640133e-01;8.15385938e-01;6.59912938e-01;5.28219395e-01;4.73176080e-01;5.28219395e-01;6.59912938e-01;8.15385938e-01;9.42640133e-01;9.98881491e-01;9.99992885e-01;9.99999974e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.29319232e-03;4.75367906e-05;5.78234322e-04;7.38563772e+04;4.22853394e+02;6.59212919e+05;1.35397922e-09;4.72977166e-10;1.51696056e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999970e-01;9.99992328e-01;9.98853988e-01;9.42601673e-01;8.15303430e-01;6.59533404e-01;5.27040503e-01;4.71269363e-01;5.27040503e-01;6.59533404e-01;8.15303430e-01;9.42601673e-01;9.98853988e-01;9.99992328e-01;9.99999970e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.30590739e-03;4.78252135e-05;5.79687155e-04;7.51184397e+04;4.34518903e+02;6.72052790e+05;1.33123106e-09;4.60279169e-10;1.48797835e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999966e-01;9.99991757e-01;9.98826492e-01;9.42563190e-01;8.15220712e-01;6.59152260e-01;5.25849372e-01;4.69329745e-01;5.25849372e-01;6.59152260e-01;8.15220712e-01;9.42563190e-01;9.98826492e-01;9.99991757e-01;9.99999966e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.31894654e-03;4.81191431e-05;5.81152916e-04;7.64273717e+04;4.46736636e+02;6.85428726e+05;1.30843175e-09;4.47691064e-10;1.45894090e-06
8;256;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999962e-01;9.99991173e-01;9.98799004e-01;9.42524687e-01;8.15137783e-01;6.58769493e-01;5.24645736e-01;4.67355991e-01;5.24645736e-01;6.58769493e-01;8.15137783e-01;9.42524687e-01;9.98799004e-01;9.99991173e-01;9.99999962e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.33232491e-03;4.84187832e-05;5.82631900e-04;7.77859481e+04;4.59545339e+02;6.99374991e+05;1.28557924e-09;4.35212770e-10;1.42984810e-06
