A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 50
x_skip = 1
t_grid = 3200
t_skip = 64
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999978e-01;9.99999914e-01;9.99999680e-01;9.99998873e-01;9.99996245e-01;9.99988178e-01;9.99964923e-01;9.99902179e-01;9.99744333e-01;9.99375694e-01;9.98580352e-01;9.97003947e-01;9.94151884e-01;9.89476930e-01;9.82597312e-01;9.73618673e-01;9.63423827e-01;9.53715940e-01;9.46643450e-01;9.44043323e-01;9.46643450e-01;9.53715940e-01;9.63423827e-01;9.73618673e-01;9.82597312e-01;9.89476930e-01;9.94151884e-01;9.97003947e-01;9.98580352e-01;9.99375694e-01;9.99744333e-01;9.99902179e-01;9.99964923e-01;9.99988178e-01;9.99996245e-01;9.99998873e-01;9.99999680e-01;9.99999914e-01;9.99999978e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999982e-01;9.99999932e-01;9.99999755e-01;9.99999164e-01;9.99997283e-01;9.99991624e-01;9.99975556e-01;9.99932623e-01;9.99825013e-01;9.99572915e-01;9.99023110e-01;9.97911853e-01;9.95840903e-01;9.92302931e-01;9.86799371e-01;9.79068165e-01;9.69371631e-01;9.58712880e-01;9.48810151e-01;9.41714302e-01;9.39127261e-01;9.41714302e-01;9.48810151e-01;9.58712880e-01;9.69371631e-01;9.79068165e-01;9.86799371e-01;9.92302931e-01;9.95840903e-01;9.97911853e-01;9.99023110e-01;9.99572915e-01;9.99825013e-01;9.99932623e-01;9.99975556e-01;9.99991624e-01;9.99997283e-01;9.99999164e-01;9.99999755e-01;9.99999932e-01;9.99999982e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999985e-01;9.99999947e-01;9.99999815e-01;9.99999385e-01;9.99998043e-01;9.99994075e-01;9.99982950e-01;9.99953465e-01;9.99879785e-01;9.99706717e-01;9.99325861e-01;9.98543568e-01;9.97049959e-01;9.94411558e-01;9.90122113e-01;9.83742649e-01;9.75128495e-01;9.64680829e-01;9.53503096e-01;9.43327716e-01;9.36135127e-01;9.33530646e-01;9.36135127e-01;9.43327716e-01;9.53503096e-01;9.64680829e-01;9.75128495e-01;9.83742649e-01;9.90122113e-01;9.94411558e-01;9.97049959e-01;9.98543568e-01;9.99325861e-01;9.99706717e-01;9.99879785e-01;9.99953465e-01;9.99982950e-01;9.99994075e-01;9.99998043e-01;9.99999385e-01;9.99999815e-01;9.99999947e-01;9.99999985e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999989e-01;9.99999960e-01;9.99999862e-01;9.99999550e-01;9.99998596e-01;9.99995813e-01;9.99988096e-01;9.99967783e-01;9.99917150e-01;9.99797948e-01;9.99533628e-01;9.98983308e-01;9.97911200e-01;9.95964337e-01;9.92682917e-01;9.87573573e-01;9.80264292e-01;9.70723591e-01;9.59476776e-01;9.47714487e-01;9.37186957e-01;9.29828601e-01;9.27178972e-01;9.29828601e-01;9.37186957e-01;9.47714487e-01;9.59476776e-01;9.70723591e-01;9.80264292e-01;9.87573573e-01;9.92682917e-01;9.95964337e-01;9.97911200e-01;9.98983308e-01;9.99533628e-01;9.99797948e-01;9.99917150e-01;9.99967783e-01;9.99988096e-01;9.99995813e-01;9.99998596e-01;9.99999550e-01;9.99999862e-01;9.99999960e-01;9.99999989e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00
1.00000000e+00;9.99999998e-01;9.99999991e-01;9.99999969e-01;9.99999898e-01;9.99999673e-01;9.99998995e-01;9.99997043e-01;9.99991681e-01;9.99977648e-01;9.99942747e-01;9.99860415e-01;9.99676658e-01;9.99289641e-01;9.98522704e-01;9.97097301e-01;9.94621406e-01;9.90617601e-01;9.84615244e-01;9.76313859e-01;9.65789972e-01;9.53681059e-01;9.41256994e-01;9.30292792e-01;9.22699788e-01;9.19978154e-01;9.22699788e-01;9.30292792e-01;9.41256994e-01;9.53681059e-01;9.65789972e-01;9.76313859e-01;9.84615244e-01;9.90617601e-01;9.94621406e-01;9.97097301e-01;9.98522704e-01;9.99289641e-01;9.99676658e-01;9.99860415e-01;9.99942747e-01;9.99977648e-01;9.99991681e-01;9.99997043e-01;9.99998995e-01;9.99999673e-01;9.99999898e-01;9.99999969e-01;9.99999991e-01;9.99999998e-01;1.00000000e+00
1.00000000e+00;9.99999994e-01;9.99999977e-01;9.99999925e-01;9.99999763e-01;9.99999282e-01;9.99997913e-01;9.99994181e-01;9.99984464e-01;9.99960342e-01;9.99903338e-01;9.99775390e-01;9.99503228e-01;9.98955955e-01;9.97918481e-01;9.96069846e-01;9.92983641e-01;9.88173051e-01;9.81198066e-01;9.71832048e-01;9.60253801e-01;9.47203429e-01;9.34026211e-01;9.22531857e-01;9.14631455e-01;9.11810077e-01;9.14631455e-01;9.22531857e-01;9.34026211e-01;9.47203429e-01;9.60253801e-01;9.71832048e-01;9.81198066e-01;9.88173051e-01;9.92983641e-01;9.96069846e-01;9.97918481e-01;9.98955955e-01;9.99503228e-01;9.99775390e-01;9.99903338e-01;9.99960342e-01;9.99984464e-01;9.99994181e-01;9.99997913e-01;9.99999282e-01;9.99999763e-01;9.99999925e-01;9.99999977e-01;9.99999994e-01;1.00000000e+00
1.00000000e+00;9.99999984e-01;9.99999945e-01;9.99999829e-01;9.99999488e-01;9.99998527e-01;9.99995926e-01;9.99989184e-01;9.99972472e-01;9.99932921e-01;9.99843706e-01;9.99652290e-01;9.99262477e-01;9.98510774e-01;9.97141666e-01;9.94792941e-01;9.91008847e-01;9.85300636e-01;9.77264921e-01;9.66749196e-01;9.54028415e-01;9.39937831e-01;9.25897859e-01;9.13765921e-01;9.05477080e-01;9.02525536e-01;9.05477080e-01;9.13765921e-01;9.25897859e-01;9.39937831e-01;9.54028415e-01;9.66749196e-01;9.77264921e-01;9.85300636e-01;9.91008847e-01;9.94792941e-01;9.97141666e-01;9.98510774e-01;9.99262477e-01;9.99652290e-01;9.99843706e-01;9.99932921e-01;9.99972472e-01;9.99989184e-01;9.99995926e-01;9.99998527e-01;9.99999488e-01;9.99999829e-01;9.99999945e-01;9.99999984e-01;1.00000000e+00
1.00000000e+00;9.99999964e-01;9.99999878e-01;9.99999636e-01;9.99998960e-01;9.99997145e-01;9.99992458e-01;9.99980858e-01;9.99953364e-01;9.99891077e-01;9.99756418e-01;9.99479136e-01;9.98936414e-01;9.97928937e-01;9.96159415e-01;9.93226204e-01;9.88649339e-01;9.81944582e-01;9.72749147e-01;9.60983000e-01;9.47010674e-01;9.31756833e-01;9.16720133e-01;9.03822499e-01;8.95050371e-01;8.91933391e-01;8.95050371e-01;9.03822499e-01;9.16720133e-01;9.31756833e-01;9.47010674e-01;9.60983000e-01;9.72749147e-01;9.81944582e-01;9.88649339e-01;9.93226204e-01;9.96159415e-01;9.97928937e-01;9.98936414e-01;9.99479136e-01;9.99756418e-01;9.99891077e-01;9.99953364e-01;9.99980858e-01;9.99992458e-01;9.99997145e-01;9.99998960e-01;9.99999636e-01;9.99999878e-01;9.99999964e-01;1.00000000e+00
1.00000000e+00;9.99999921e-01;9.99999743e-01;9.99999267e-01;9.99997998e-01;9.99994735e-01;9.99986667e-01;9.99967524e-01;9.99923985e-01;9.99829226e-01;9.99632186e-01;9.99241441e-01;9.98503879e-01;9.97181499e-01;9.94934484e-01;9.91324060e-01;9.85850962e-01;9.78040557e-01;9.67572388e-01;9.54435117e-01;9.39075592e-01;9.22503609e-01;9.06302650e-01;8.92480915e-01;8.83109254e-01;8.79783805e-01;8.83109254e-01;8.92480915e-01;9.06302650e-01;9.22503609e-01;9.39075592e-01;9.54435117e-01;9.67572388e-01;9.78040557e-01;9.85850962e-01;9.91324060e-01;9.94934484e-01;9.97181499e-01;9.98503879e-01;9.99241441e-01;9.99632186e-01;9.99829226e-01;9.99923985e-01;9.99967524e-01;9.99986667e-01;9.99994735e-01;9.99997998e-01;9.99999267e-01;9.99999743e-01;9.99999921e-01;1.00000000e+00
1.00000000e+00;9.99999837e-01;9.99999489e-01;9.99998597e-01;9.99996320e-01;9.99990700e-01;9.99977351e-01;9.99946885e-01;9.99880179e-01;9.99740265e-01;9.99459565e-01;9.98921854e-01;9.97940137e-01;9.96235241e-01;9.93424606e-01;9.89034889e-01;9.82551841e-01;9.73513743e-01;9.61641498e-01;9.46986143e-01;9.30068406e-01;9.11980018e-01;8.94399752e-01;8.79450805e-01;8.69330686e-01;8.65741650e-01;8.69330686e-01;8.79450805e-01;8.94399752e-01;9.11980018e-01;9.30068406e-01;9.46986143e-01;9.61641498e-01;9.73513743e-01;9.82551841e-01;9.89034889e-01;9.93424606e-01;9.96235241e-01;9.97940137e-01;9.98921854e-01;9.99459565e-01;9.99740265e-01;9.99880179e-01;9.99946885e-01;9.99977351e-01;9.99990700e-01;9.99996320e-01;9.99998597e-01;9.99999489e-01;9.99999837e-01;1.00000000e+00
1.00000000e+00;9.99999680e-01;9.99999028e-01;9.99997429e-01;9.99993506e-01;9.99984184e-01;9.99962844e-01;9.99915869e-01;9.99816572e-01;9.99615288e-01;9.99224612e-01;9.98499758e-01;9.97216402e-01;9.95052103e-01;9.91581755e-01;9.86299958e-01;9.78680716e-01;9.68276089e-01;9.54843975e-01;9.38488098e-01;9.19792548e-01;8.99928259e-01;8.80684278e-01;8.64337529e-01;8.53269409e-01;8.49342674e-01;8.53269409e-01;8.64337529e-01;8.80684278e-01;8.99928259e-01;9.19792548e-01;9.38488098e-01;9.54843975e-01;9.68276089e-01;9.78680716e-01;9.86299958e-01;9.91581755e-01;9.95052103e-01;9.97216402e-01;9.98499758e-01;9.99224612e-01;9.99615288e-01;9.99816572e-01;9.99915869e-01;9.99962844e-01;9.99984184e-01;9.99993506e-01;9.99997429e-01;9.99999028e-01;9.99999680e-01;1.00000000e+00
1.00000000e+00;9.99999400e-01;9.99998228e-01;9.99995469e-01;9.99988945e-01;9.99973982e-01;9.99940888e-01;9.99870445e-01;9.99726318e-01;9.99443271e-01;9.98910494e-01;9.97950818e-01;9.96299308e-01;9.93588521e-01;9.89351229e-01;9.83052021e-01;9.74154599e-01;9.62222316e-01;9.47041126e-01;9.28752923e-01;9.07990861e-01;8.86001490e-01;8.64704309e-01;8.46583628e-01;8.34286779e-01;8.29917359e-01;8.34286779e-01;8.46583628e-01;8.64704309e-01;8.86001490e-01;9.07990861e-01;9.28752923e-01;9.47041126e-01;9.62222316e-01;9.74154599e-01;9.83052021e-01;9.89351229e-01;9.93588521e-01;9.96299308e-01;9.97950818e-01;9.98910494e-01;9.99443271e-01;9.99726318e-01;9.99870445e-01;9.99940888e-01;9.99973982e-01;9.99988945e-01;9.99995469e-01;9.99998228e-01;9.99999400e-01;1.00000000e+00
1.00000000e+00;9.99998917e-01;9.99996887e-01;9.99992283e-01;9.99981770e-01;9.99958443e-01;9.99908481e-01;9.99805403e-01;9.99600815e-01;9.99210704e-01;9.98497058e-01;9.97246462e-01;9.95150289e-01;9.91794627e-01;9.86670473e-01;9.79213372e-01;9.68875403e-01;9.55223948e-01;9.38057582e-01;9.17534369e-01;8.94315063e-01;8.69714324e-01;8.45807623e-01;8.25363162e-01;8.11419364e-01;8.06449141e-01;8.11419364e-01;8.25363162e-01;8.45807623e-01;8.69714324e-01;8.94315063e-01;9.17534369e-01;9.38057582e-01;9.55223948e-01;9.68875403e-01;9.79213372e-01;9.86670473e-01;9.91794627e-01;9.95150289e-01;9.97246462e-01;9.98497058e-01;9.99210704e-01;9.99600815e-01;9.99805403e-01;9.99908481e-01;9.99958443e-01;9.99981770e-01;9.99992283e-01;9.99996887e-01;9.99998917e-01;1.00000000e+00
1.00000000e+00;9.99998115e-01;9.99994706e-01;9.99987252e-01;9.99970779e-01;9.99935343e-01;9.99861690e-01;9.99714104e-01;9.99429373e-01;9.98901185e-01;9.97960330e-01;9.96353296e-01;9.93724848e-01;9.89613235e-01;9.83467489e-01;9.74693078e-01;9.62724903e-01;9.47120138e-01;9.27664696e-01;9.04498245e-01;8.78273440e-01;8.50354017e-01;8.22999590e-01;7.99374418e-01;7.83113330e-01;7.77284700e-01;7.83113330e-01;7.99374418e-01;8.22999590e-01;8.50354017e-01;8.78273440e-01;9.04498245e-01;9.27664696e-01;9.47120138e-01;9.62724903e-01;9.74693078e-01;9.83467489e-01;9.89613235e-01;9.93724848e-01;9.96353296e-01;9.97960330e-01;9.98901185e-01;9.99429373e-01;9.99714104e-01;9.99861690e-01;9.99935343e-01;9.99970779e-01;9.99987252e-01;9.99994706e-01;9.99998115e-01;1.00000000e+00
1.00000000e+00;9.99996820e-01;9.99991258e-01;9.99979511e-01;9.99954336e-01;9.99901735e-01;9.99795439e-01;9.99588189e-01;9.99198838e-01;9.98494949e-01;9.97271962e-01;9.95232422e-01;9.91971674e-01;9.86978528e-01;9.79658585e-01;9.69382859e-01;9.55557009e-01;9.37703099e-01;9.15553091e-01;8.89170813e-01;8.59134892e-01;8.26807178e-01;7.94647899e-01;7.66383793e-01;7.46615186e-01;7.39459101e-01;7.46615186e-01;7.66383793e-01;7.94647899e-01;8.26807178e-01;8.59134892e-01;8.89170813e-01;9.15553091e-01;9.37703099e-01;9.55557009e-01;9.69382859e-01;9.79658585e-01;9.86978528e-01;9.91971674e-01;9.95232422e-01;9.97271962e-01;9.98494949e-01;9.99198838e-01;9.99588189e-01;9.99795439e-01;9.99901735e-01;9.99954336e-01;9.99979511e-01;9.99991258e-01;9.99996820e-01;1.00000000e+00
1.00000000e+00;9.99994785e-01;9.99985944e-01;9.99967869e-01;9.99930250e-01;9.99853770e-01;9.99703259e-01;9.99417243e-01;9.98893164e-01;9.97968349e-01;9.96398588e-01;9.93838638e-01;9.89831508e-01;9.83814225e-01;9.75145067e-01;9.63150755e-01;9.47185443e-01;9.26693904e-01;9.01284584e-01;8.70842372e-01;8.35735630e-01;7.97180041e-01;7.57775481e-01;7.22037757e-01;6.96280841e-01;6.86776916e-01;6.96280841e-01;7.22037757e-01;7.57775481e-01;7.97180041e-01;8.35735630e-01;8.70842372e-01;9.01284584e-01;9.26693904e-01;9.47185443e-01;9.63150755e-01;9.75145067e-01;9.83814225e-01;9.89831508e-01;9.93838638e-01;9.96398588e-01;9.97968349e-01;9.98893164e-01;9.99417243e-01;9.99703259e-01;9.99853770e-01;9.99930250e-01;9.99967869e-01;9.99985944e-01;9.99994785e-01;1.00000000e+00
1.00000000e+00;9.99991662e-01;9.99977933e-01;9.99950721e-01;9.99895627e-01;9.99786487e-01;9.99576991e-01;9.99188405e-01;9.98492919e-01;9.97293244e-01;9.95301079e-01;9.92119444e-01;9.87235649e-01;9.80030951e-01;9.69808184e-01;9.55831034e-01;9.37363186e-01;9.13699738e-01;8.84200899e-01;8.48367169e-01;8.06033151e-01;7.57807273e-01;7.05942446e-01;6.55767359e-01;6.17035299e-01;6.02036480e-01;6.17035299e-01;6.55767359e-01;7.05942446e-01;7.57807273e-01;8.06033151e-01;8.48367169e-01;8.84200899e-01;9.13699738e-01;9.37363186e-01;9.55831034e-01;9.69808184e-01;9.80030951e-01;9.87235649e-01;9.92119444e-01;9.95301079e-01;9.97293244e-01;9.98492919e-01;9.99188405e-01;9.99576991e-01;9.99786487e-01;9.99895627e-01;9.99950721e-01;9.99977933e-01;9.99991662e-01;1.00000000e+00
1.00000000e+00;9.99986973e-01;9.99966102e-01;9.99925927e-01;9.99846701e-01;9.99693559e-01;9.99406446e-01;9.98885925e-01;9.97974732e-01;9.96436315e-01;9.93933659e-01;9.90013774e-01;9.84103831e-01;9.75522239e-01;9.63501042e-01;9.47207260e-01;9.25745859e-01;8.98131345e-01;8.63228014e-01;8.19674257e-01;7.65819055e-01;6.99721647e-01;6.19391897e-01;5.24245449e-01;4.23391080e-01;3.68346452e-01;4.23391080e-01;5.24245449e-01;6.19391897e-01;6.99721647e-01;7.65819055e-01;8.19674257e-01;8.63228014e-01;8.98131345e-01;9.25745859e-01;9.47207260e-01;9.63501042e-01;9.75522239e-01;9.84103831e-01;9.90013774e-01;9.93933659e-01;9.96436315e-01;9.97974732e-01;9.98885925e-01;9.99406446e-01;9.99693559e-01;9.99846701e-01;9.99925927e-01;9.99966102e-01;9.99986973e-01;1.00000000e+00
1.00000000e+00;9.99980070e-01;9.99948944e-01;9.99890679e-01;9.99778620e-01;9.99567000e-01;9.99179010e-01;9.98490655e-01;9.97310653e-01;9.95358251e-01;9.92242791e-01;9.87450262e-01;9.80341076e-01;9.70158169e-01;9.56034985e-01;9.36981773e-01;9.11819379e-01;8.79017974e-01;8.36352982e-01;7.80067864e-01;7.01890446e-01;5.71986401e-01;2.12883086e-01;2.85834024e-02;1.10156293e-02;8.40957845e-03;1.10156293e-02;2.85834024e-02;2.12883086e-01;5.71986401e-01;7.01890446e-01;7.80067864e-01;8.36352982e-01;8.79017974e-01;9.11819379e-01;9.36981773e-01;9.56034985e-01;9.70158169e-01;9.80341076e-01;9.87450262e-01;9.92242791e-01;9.95358251e-01;9.97310653e-01;9.98490655e-01;9.99179010e-01;9.99567000e-01;9.99778620e-01;9.99890679e-01;9.99948944e-01;9.99980070e-01;1.00000000e+00
