A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
delta = 0.001
dt_max = 2.86e-8
duration = 5e-7
l = 1.5e-06
m = 1
t_grid = 5000
t_skip = 1
tol_energy = 5e-4
tol_phi = 1e-4
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 2.00000000e-05

1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950268e-01;9.97539508e-01;9.40724050e-01;8.11067542e-01;6.39039204e-01;4.47339307e-01;2.05497717e-01;4.47339307e-01;6.39039204e-01;8.11067542e-01;9.40724050e-01;9.97539508e-01;9.99950268e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31746444e-02;9.12365379e-05;6.80951101e-04;1.58054609e+05;1.25852850e+04;6.32692719e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950268e-01;9.97539499e-01;9.40724037e-01;8.11067511e-01;6.39039048e-01;4.47338501e-01;2.05481912e-01;4.47338501e-01;6.39039048e-01;8.11067511e-01;9.40724037e-01;9.97539499e-01;9.99950268e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31759082e-02;9.12394259e-05;6.80952755e-04;1.58099937e+05;1.25924592e+04;6.32511323e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950267e-01;9.97539490e-01;9.40724024e-01;8.11067481e-01;6.39038891e-01;4.47337694e-01;2.05466102e-01;4.47337694e-01;6.39038891e-01;8.11067481e-01;9.40724024e-01;9.97539490e-01;9.99950267e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31771727e-02;9.12423147e-05;6.80954408e-04;1.58145294e+05;1.25996399e+04;6.32329915e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950267e-01;9.97539481e-01;9.40724011e-01;8.11067450e-01;6.39038735e-01;4.47336888e-01;2.05450287e-01;4.47336888e-01;6.39038735e-01;8.11067450e-01;9.40724011e-01;9.97539481e-01;9.99950267e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31784380e-02;9.12452044e-05;6.80956062e-04;1.58190680e+05;1.26068274e+04;6.32148495e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950266e-01;9.97539473e-01;9.40723998e-01;8.11067420e-01;6.39038578e-01;4.47336081e-01;2.05434468e-01;4.47336081e-01;6.39038578e-01;8.11067420e-01;9.40723998e-01;9.97539473e-01;9.99950266e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31797039e-02;9.12480951e-05;6.80957716e-04;1.58236095e+05;1.26140215e+04;6.31967062e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950266e-01;9.97539464e-01;9.40723985e-01;8.11067389e-01;6.39038422e-01;4.47335275e-01;2.05418645e-01;4.47335275e-01;6.39038422e-01;8.11067389e-01;9.40723985e-01;9.97539464e-01;9.99950266e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31809706e-02;9.12509866e-05;6.80959370e-04;1.58281539e+05;1.26212223e+04;6.31785617e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950266e-01;9.97539455e-01;9.40723972e-01;8.11067359e-01;6.39038265e-01;4.47334468e-01;2.05402817e-01;4.47334468e-01;6.39038265e-01;8.11067359e-01;9.40723972e-01;9.97539455e-01;9.99950266e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31822380e-02;9.12538790e-05;6.80961024e-04;1.58327013e+05;1.26284298e+04;6.31604161e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950265e-01;9.97539446e-01;9.40723959e-01;8.11067328e-01;6.39038109e-01;4.47333662e-01;2.05386984e-01;4.47333662e-01;6.39038109e-01;8.11067328e-01;9.40723959e-01;9.97539446e-01;9.99950265e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31835061e-02;9.12567723e-05;6.80962679e-04;1.58372515e+05;1.26356439e+04;6.31422692e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950265e-01;9.97539437e-01;9.40723946e-01;8.11067297e-01;6.39037952e-01;4.47332855e-01;2.05371147e-01;4.47332855e-01;6.39037952e-01;8.11067297e-01;9.40723946e-01;9.97539437e-01;9.99950265e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31847749e-02;9.12596666e-05;6.80964333e-04;1.58418047e+05;1.26428648e+04;6.31241211e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950265e-01;9.97539428e-01;9.40723933e-01;8.11067267e-01;6.39037796e-01;4.47332049e-01;2.05355305e-01;4.47332049e-01;6.39037796e-01;8.11067267e-01;9.40723933e-01;9.97539428e-01;9.99950265e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31860445e-02;9.12625617e-05;6.80965988e-04;1.58463609e+05;1.26500924e+04;6.31059717e-10;2.86000000e-08
