A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
delta = 0.001
dt_max = 6.42e-6
duration = 1e-3
l = 1.5e-06
m = 1
t_grid = 10000000
t_skip = 5000
tol_energy = 5e-4
tol_phi = 1e-4
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999913e-01;9.99985564e-01;9.98561022e-01;9.42189958e-01;8.14409858e-01;6.55380808e-01;5.13642505e-01;4.48591509e-01;5.13642505e-01;6.55380808e-01;8.14409858e-01;9.42189958e-01;9.98561022e-01;9.99985564e-01;9.99999913e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.46532922e-03;5.12923887e-05;5.96058280e-04;7.68150191e+03;5.02630164e+01;1.30182875e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999901e-01;9.99984402e-01;9.98516405e-01;9.42126926e-01;8.14271371e-01;6.54730059e-01;5.11452874e-01;4.44681422e-01;5.11452874e-01;6.54730059e-01;8.14271371e-01;9.42126926e-01;9.98516405e-01;9.99984402e-01;9.99999901e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.49444980e-03;5.18963615e-05;5.98711776e-04;7.96253312e+03;5.32380998e+01;1.25588175e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999888e-01;9.99983205e-01;9.98471807e-01;9.42063834e-01;8.14132297e-01;6.54074533e-01;5.09220174e-01;4.40625139e-01;5.09220174e-01;6.54074533e-01;8.14132297e-01;9.42063834e-01;9.98471807e-01;9.99983205e-01;9.99999888e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.52520665e-03;5.25246032e-05;6.01412034e-04;8.26677406e+03;5.65318143e+01;1.20966170e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999874e-01;9.99981974e-01;9.98427230e-01;9.42000681e-01;8.13992632e-01;6.53414151e-01;5.06942589e-01;4.36410292e-01;5.06942589e-01;6.53414151e-01;8.13992632e-01;9.42000681e-01;9.98427230e-01;9.99981974e-01;9.99999874e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.55777612e-03;5.31791284e-05;6.04161382e-04;8.59736339e+03;6.01966548e+01;1.16314730e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999859e-01;9.99980709e-01;9.98382671e-01;9.41937467e-01;8.13852371e-01;6.52748836e-01;5.04618182e-01;4.32022799e-01;5.04618182e-01;6.52748836e-01;8.13852371e-01;9.41937467e-01;9.98382671e-01;9.99980709e-01;9.99999859e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.59236419e-03;5.38622283e-05;6.06962379e-04;8.95804621e+03;6.42971633e+01;1.11631485e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999843e-01;9.99979410e-01;9.98338132e-01;9.41874191e-01;8.13711510e-01;6.52078504e-01;5.02244879e-01;4.27446522e-01;5.02244879e-01;6.52078504e-01;8.13711510e-01;9.41874191e-01;9.98338132e-01;9.99979410e-01;9.99999843e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.62921346e-03;5.45765249e-05;6.09817858e-04;9.35333014e+03;6.89135490e+01;1.06913793e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999826e-01;9.99978077e-01;9.98293612e-01;9.41810852e-01;8.13570044e-01;6.51403072e-01;4.99820457e-01;4.22662838e-01;4.99820457e-01;6.51403072e-01;8.13570044e-01;9.41810852e-01;9.98293612e-01;9.99978077e-01;9.99999826e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.66861227e-03;5.53250414e-05;6.12730970e-04;9.78869268e+03;7.41466793e+01;1.02158688e-08;6.42000000e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999808e-01;9.99976710e-01;9.98249111e-01;9.41747452e-01;8.13427969e-01;6.50722451e-01;4.97342528e-01;4.17650083e-01;4.97342528e-01;6.50722451e-01;8.13427969e-01;9.41747452e-01;9.98249111e-01;9.99976710e-01;9.99999808e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.71090685e-03;5.61112913e-05;6.15705239e-04;1.02708608e+04;8.01250777e+01;9.73628228e-09;6.24024356e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999789e-01;9.99975309e-01;9.98204629e-01;9.41683988e-01;8.13285280e-01;6.50036552e-01;4.94808521e-01;4.12382845e-01;4.94808521e-01;6.50036552e-01;8.13285280e-01;9.41683988e-01;9.98204629e-01;9.99975309e-01;9.99999789e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.75651764e-03;5.69393954e-05;6.18744639e-04;1.08081942e+04;8.70149246e+01;9.25223938e-09;5.74614070e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999768e-01;9.99973874e-01;9.98160166e-01;9.41620461e-01;8.13141973e-01;6.49345280e-01;4.92215663e-01;4.06831014e-01;4.92215663e-01;6.49345280e-01;8.13141973e-01;9.41620461e-01;9.98160166e-01;9.99973874e-01;9.99999768e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.80596182e-03;5.78142362e-05;6.21853687e-04;1.14112204e+04;9.50346526e+01;8.76330460e-09;5.26123879e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99999747e-01;9.99972406e-01;9.98115721e-01;9.41556870e-01;8.12998042e-01;6.48648539e-01;4.89560953e-01;4.00958520e-01;4.89560953e-01;6.48648539e-01;8.12998042e-01;9.41556870e-01;9.98115721e-01;9.99972406e-01;9.99999747e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.85988484e-03;5.87416653e-05;6.25037561e-04;1.20933971e+04;1.04476761e+02;8.26897515e-09;4.78575325e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99999724e-01;9.99970903e-01;9.98071295e-01;9.41493215e-01;8.12853483e-01;6.47946227e-01;4.86841136e-01;3.94721612e-01;4.86841136e-01;6.47946227e-01;8.12853483e-01;9.41493215e-01;9.98071295e-01;9.99970903e-01;9.99999724e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.91910562e-03;5.97287893e-05;6.28302263e-04;1.28722247e+04;1.15741309e+02;7.76866489e-09;4.31997880e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99999701e-01;9.99969367e-01;9.98026888e-01;9.41429495e-01;8.12708291e-01;6.47238240e-01;4.84052672e-01;3.88066447e-01;4.84052672e-01;6.47238240e-01;8.12708291e-01;9.41429495e-01;9.98026888e-01;9.99969367e-01;9.99999701e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;-7.98468321e-03;6.07843701e-05;6.31654834e-04;1.37709125e+04;1.29388931e+02;7.26168294e-09;3.86431819e-06
1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99999676e-01;9.99967798e-01;9.97982499e-01;9.41365710e-01;8.12562460e-01;6.46524469e-01;4.81191693e-01;3.80925639e-01;4.81191693e-01;6.46524469e-01;8.12562460e-01;9.41365710e-01;9.97982499e-01;9.99967798e-01;9.99999676e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;-8.05801782e-03;6.19194038e-05;6.35103651e-04;1.48209532e+04;1.46227806e+02;6.74720436e-09;3.41932231e-06
