A one-dimensional setting of the electrical breakdown problem

adaptation_type = 0
delta = 0.001
dt_max = 6e-6
duration = 2e-3
l = 1.5e-06
m = 12
q = 2e-9
t_grid = 1000000
t_skip = 512
tol_energy = 1.5e-10
tol_phi = 1.4e-5
tol_stability = 1.1e-2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999925e-01;9.99998168e-01;9.99963873e-01;9.99455361e-01;9.94250374e-01;9.63868271e-01;9.04699839e-01;8.38374252e-01;7.88682357e-01;7.70554539e-01;7.88682357e-01;8.38374252e-01;9.04699839e-01;9.63868271e-01;9.94250374e-01;9.99455361e-01;9.99963873e-01;9.99998168e-01;9.99999925e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.77391853e-04;8.75254655e-06;1.77757612e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999884e-01;9.99997406e-01;9.99953161e-01;9.99351708e-01;9.93683548e-01;9.62855167e-01;9.03201170e-01;8.36099147e-01;7.85664798e-01;7.67237770e-01;7.85664798e-01;8.36099147e-01;9.03201170e-01;9.62855167e-01;9.93683548e-01;9.99351708e-01;9.99953161e-01;9.99997406e-01;9.99999884e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.70757740e-04;8.96677143e-06;1.82258632e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99999827e-01;9.99996447e-01;9.99940787e-01;9.99241735e-01;9.93129675e-01;9.61929555e-01;9.01917550e-01;8.34165124e-01;7.83066262e-01;7.64364643e-01;7.83066262e-01;8.34165124e-01;9.01917550e-01;9.61929555e-01;9.93129675e-01;9.99241735e-01;9.99940787e-01;9.99996447e-01;9.99999827e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.65237504e-04;9.14896583e-06;1.86164910e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999989e-01;9.99999752e-01;9.99995267e-01;9.99926716e-01;9.99126066e-01;9.92589292e-01;9.61079364e-01;9.00812909e-01;8.32514301e-01;7.80815759e-01;7.61859966e-01;7.80815759e-01;8.32514301e-01;9.00812909e-01;9.61079364e-01;9.92589292e-01;9.99126066e-01;9.99926716e-01;9.99995267e-01;9.99999752e-01;9.99999989e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.60595028e-04;9.30423753e-06;1.89570341e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999984e-01;9.99999655e-01;9.99993842e-01;9.99910928e-01;9.99005287e-01;9.92062685e-01;9.60294829e-01;8.99858616e-01;8.31100978e-01;7.78857471e-01;7.59664711e-01;7.78857471e-01;8.31100978e-01;8.99858616e-01;9.60294829e-01;9.92062685e-01;9.99005287e-01;9.99910928e-01;9.99993842e-01;9.99999655e-01;9.99999984e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.56656280e-04;9.43671350e-06;1.92550383e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999976e-01;9.99999530e-01;9.99992151e-01;9.99893414e-01;9.98879949e-01;9.91549948e-01;9.59567916e-01;8.99031590e-01;8.29888470e-01;7.77146749e-01;7.57731728e-01;7.77146749e-01;8.29888470e-01;8.99031590e-01;9.59567916e-01;9.91549948e-01;9.98879949e-01;9.99893414e-01;9.99992151e-01;9.99999530e-01;9.99999976e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.53289936e-04;9.54977073e-06;1.95166549e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999967e-01;9.99999375e-01;9.99990171e-01;9.99874174e-01;9.98750563e-01;9.91051032e-01;9.58891921e-01;8.98312975e-01;8.28846921e-01;7.75647362e-01;7.56022808e-01;7.75647362e-01;8.28846921e-01;8.98312975e-01;9.58891921e-01;9.91051032e-01;9.98750563e-01;9.99874174e-01;9.99990171e-01;9.99999375e-01;9.99999967e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.50394896e-04;9.64620199e-06;1.97469589e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999954e-01;9.99999185e-01;9.99987884e-01;9.99853220e-01;9.98617602e-01;9.90565778e-01;9.58261186e-01;8.97687195e-01;8.27951742e-01;7.74329546e-01;7.54506596e-01;7.74329546e-01;8.27951742e-01;8.97687195e-01;9.58261186e-01;9.90565778e-01;9.98617602e-01;9.99853220e-01;9.99987884e-01;9.99999185e-01;9.99999954e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.47891982e-04;9.72833769e-06;1.99501798e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999938e-01;9.99998955e-01;9.99985270e-01;9.99830569e-01;9.98481504e-01;9.90093946e-01;9.57670884e-01;8.97141264e-01;8.27182478e-01;7.73168590e-01;7.53157089e-01;7.73168590e-01;8.27182478e-01;8.97141264e-01;9.57670884e-01;9.90093946e-01;9.98481504e-01;9.99830569e-01;9.99985270e-01;9.99998955e-01;9.99999938e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.45718247e-04;9.79813735e-06;2.01298740e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999917e-01;9.99998681e-01;9.99982311e-01;9.99806246e-01;9.98342672e-01;9.89635238e-01;9.57116865e-01;8.96664266e-01;8.26521966e-01;7.72143792e-01;7.51952521e-01;7.72143792e-01;8.26521966e-01;8.96664266e-01;9.57116865e-01;9.89635238e-01;9.98342672e-01;9.99806246e-01;9.99982311e-01;9.99998681e-01;9.99999917e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.43822992e-04;9.85725947e-06;2.02890537e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999892e-01;9.99998357e-01;9.99978991e-01;9.99780280e-01;9.98201476e-01;9.89189312e-01;9.56595529e-01;8.96246962e-01;8.25955697e-01;7.71237670e-01;7.50874526e-01;7.71237670e-01;8.25955697e-01;8.96246962e-01;9.56595529e-01;9.89189312e-01;9.98201476e-01;9.99780280e-01;9.99978991e-01;9.99998357e-01;9.99999892e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.42164915e-04;9.90711580e-06;2.04302876e-04
