A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 71
x_skip = 1
t_grid = 566
t_skip = 11
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999995e-01;9.99999983e-01;9.99999948e-01;9.99999846e-01;9.99999565e-01;9.99998821e-01;9.99996934e-01;9.99992350e-01;9.99981705e-01;9.99958078e-01;9.99908004e-01;9.99806754e-01;9.99611626e-01;9.99253587e-01;9.98628821e-01;9.97593433e-01;9.95966230e-01;9.93545234e-01;9.90142035e-01;9.85633389e-01;9.80022342e-01;9.73493635e-01;9.66443786e-01;9.59467514e-01;9.53290315e-01;9.48651439e-01;9.46159628e-01;9.46159628e-01;9.48651439e-01;9.53290315e-01;9.59467514e-01;9.66443786e-01;9.73493635e-01;9.80022342e-01;9.85633389e-01;9.90142035e-01;9.93545234e-01;9.95966230e-01;9.97593433e-01;9.98628821e-01;9.99253587e-01;9.99611626e-01;9.99806754e-01;9.99908004e-01;9.99958078e-01;9.99981705e-01;9.99992350e-01;9.99996934e-01;9.99998821e-01;9.99999565e-01;9.99999846e-01;9.99999948e-01;9.99999983e-01;9.99999995e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999993e-01;9.99999979e-01;9.99999938e-01;9.99999825e-01;9.99999526e-01;9.99998767e-01;9.99996908e-01;9.99992544e-01;9.99982703e-01;9.99961423e-01;9.99917314e-01;9.99829746e-01;9.99663376e-01;9.99361154e-01;9.98836747e-01;9.97968539e-01;9.96598727e-01;9.94541972e-01;9.91607671e-01;9.87637421e-01;9.82554582e-01;9.76417041e-01;9.69459451e-01;9.62109411e-01;9.54964547e-01;9.48724629e-01;9.44084327e-01;9.41606315e-01;9.41606315e-01;9.44084327e-01;9.48724629e-01;9.54964547e-01;9.62109411e-01;9.69459451e-01;9.76417041e-01;9.82554582e-01;9.87637421e-01;9.91607671e-01;9.94541972e-01;9.96598727e-01;9.97968539e-01;9.98836747e-01;9.99361154e-01;9.99663376e-01;9.99829746e-01;9.99917314e-01;9.99961423e-01;9.99982703e-01;9.99992544e-01;9.99996908e-01;9.99998767e-01;9.99999526e-01;9.99999825e-01;9.99999938e-01;9.99999979e-01;9.99999993e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999991e-01;9.99999975e-01;9.99999929e-01;9.99999809e-01;9.99999502e-01;9.99998747e-01;9.99996957e-01;9.99992867e-01;9.99983874e-01;9.99964848e-01;9.99926141e-01;9.99850464e-01;9.99708388e-01;9.99452437e-01;9.99010366e-01;9.98279008e-01;9.97121240e-01;9.95369477e-01;9.92839368e-01;9.89356139e-01;9.84793137e-01;9.79117936e-01;9.72437023e-01;9.65027185e-01;9.57341473e-01;9.49980347e-01;9.43624658e-01;9.38936442e-01;9.36444937e-01;9.36444937e-01;9.38936442e-01;9.43624658e-01;9.49980347e-01;9.57341473e-01;9.65027185e-01;9.72437023e-01;9.79117936e-01;9.84793137e-01;9.89356139e-01;9.92839368e-01;9.95369477e-01;9.97121240e-01;9.98279008e-01;9.99010366e-01;9.99452437e-01;9.99708388e-01;9.99850464e-01;9.99926141e-01;9.99964848e-01;9.99983874e-01;9.99992867e-01;9.99996957e-01;9.99998747e-01;9.99999502e-01;9.99999809e-01;9.99999929e-01;9.99999975e-01;9.99999991e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999990e-01;9.99999971e-01;9.99999923e-01;9.99999798e-01;9.99999491e-01;9.99998756e-01;9.99997059e-01;9.99993274e-01;9.99985127e-01;9.99968208e-01;9.99934328e-01;9.99868946e-01;9.99747425e-01;9.99530036e-01;9.99156009e-01;9.98537562e-01;9.97555688e-01;9.96060320e-01;9.93877971e-01;9.90829541e-01;9.86759254e-01;9.81572830e-01;9.75279428e-01;9.68028935e-01;9.60134625e-01;9.52071689e-01;9.44444699e-01;9.37922015e-01;9.33142964e-01;9.30613372e-01;9.30613372e-01;9.33142964e-01;9.37922015e-01;9.44444699e-01;9.52071689e-01;9.60134625e-01;9.68028935e-01;9.75279428e-01;9.81572830e-01;9.86759254e-01;9.90829541e-01;9.93877971e-01;9.96060320e-01;9.97555688e-01;9.98537562e-01;9.99156009e-01;9.99530036e-01;9.99747425e-01;9.99868946e-01;9.99934328e-01;9.99968208e-01;9.99985127e-01;9.99993274e-01;9.99997059e-01;9.99998756e-01;9.99999491e-01;9.99999798e-01;9.99999923e-01;9.99999971e-01;9.99999990e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999988e-01;9.99999969e-01;9.99999918e-01;9.99999793e-01;9.99999491e-01;9.99998787e-01;9.99997199e-01;9.99993729e-01;9.99986396e-01;9.99971411e-01;9.99941809e-01;9.99885319e-01;9.99781225e-01;9.99596120e-01;9.99278672e-01;9.98753993e-01;9.97918867e-01;9.96639798e-01;9.94756436e-01;9.92092924e-01;9.88478875e-01;9.83779692e-01;9.77933349e-01;9.70987950e-01;9.63132523e-01;9.54712807e-01;9.46224497e-01;9.38278514e-01;9.31536966e-01;9.26625173e-01;9.24033958e-01;9.24033958e-01;9.26625173e-01;9.31536966e-01;9.38278514e-01;9.46224497e-01;9.54712807e-01;9.63132523e-01;9.70987950e-01;9.77933349e-01;9.83779692e-01;9.88478875e-01;9.92092924e-01;9.94756436e-01;9.96639798e-01;9.97918867e-01;9.98753993e-01;9.99278672e-01;9.99596120e-01;9.99781225e-01;9.99885319e-01;9.99941809e-01;9.99971411e-01;9.99986396e-01;9.99993729e-01;9.99997199e-01;9.99998787e-01;9.99999491e-01;9.99999793e-01;9.99999918e-01;9.99999969e-01;9.99999988e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999987e-01;9.99999967e-01;9.99999915e-01;9.99999791e-01;9.99999500e-01;9.99998834e-01;9.99997363e-01;9.99994206e-01;9.99987640e-01;9.99974407e-01;9.99948576e-01;9.99899756e-01;9.99810463e-01;9.99652495e-01;9.99382335e-01;9.98935954e-01;9.98223853e-01;9.97127831e-01;9.95501503e-01;9.93176862e-01;9.89978820e-01;9.85748450e-01;9.80373718e-01;9.73824209e-01;9.66184423e-01;9.57679070e-01;9.48683614e-01;9.39713906e-01;9.31390279e-01;9.24374887e-01;9.19287149e-01;9.16610433e-01;9.16610433e-01;9.19287149e-01;9.24374887e-01;9.31390279e-01;9.39713906e-01;9.48683614e-01;9.57679070e-01;9.66184423e-01;9.73824209e-01;9.80373718e-01;9.85748450e-01;9.89978820e-01;9.93176862e-01;9.95501503e-01;9.97127831e-01;9.98223853e-01;9.98935954e-01;9.99382335e-01;9.99652495e-01;9.99810463e-01;9.99899756e-01;9.99948576e-01;9.99974407e-01;9.99987640e-01;9.99994206e-01;9.99997363e-01;9.99998834e-01;9.99999500e-01;9.99999791e-01;9.99999915e-01;9.99999967e-01;9.99999987e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00
1.00000000e+00;9.99999998e-01;9.99999995e-01;9.99999986e-01;9.99999965e-01;9.99999914e-01;9.99999794e-01;9.99999515e-01;9.99998893e-01;9.99997541e-01;9.99994685e-01;9.99988829e-01;9.99977171e-01;9.99954649e-01;9.99912442e-01;9.99835745e-01;9.99700667e-01;9.99470207e-01;9.99089508e-01;9.98480971e-01;9.97540285e-01;9.96134997e-01;9.94107570e-01;9.91284857e-01;9.87495243e-01;9.82593355e-01;9.76490415e-01;9.69186582e-01;9.60800303e-01;9.51589168e-01;9.41956677e-01;9.32439597e-01;9.23671566e-01;9.16321479e-01;9.11010919e-01;9.08223095e-01;9.08223095e-01;9.11010919e-01;9.16321479e-01;9.23671566e-01;9.32439597e-01;9.41956677e-01;9.51589168e-01;9.60800303e-01;9.69186582e-01;9.76490415e-01;9.82593355e-01;9.87495243e-01;9.91284857e-01;9.94107570e-01;9.96134997e-01;9.97540285e-01;9.98480971e-01;9.99089508e-01;9.99470207e-01;9.99700667e-01;9.99835745e-01;9.99912442e-01;9.99954649e-01;9.99977171e-01;9.99988829e-01;9.99994685e-01;9.99997541e-01;9.99998893e-01;9.99999515e-01;9.99999794e-01;9.99999914e-01;9.99999965e-01;9.99999986e-01;9.99999995e-01;9.99999998e-01;1.00000000e+00
1.00000000e+00;9.99999995e-01;9.99999986e-01;9.99999965e-01;9.99999915e-01;9.99999799e-01;9.99999536e-01;9.99998959e-01;9.99997725e-01;9.99995154e-01;9.99989948e-01;9.99979695e-01;9.99960069e-01;9.99923562e-01;9.99857604e-01;9.99741894e-01;9.99544888e-01;9.99219510e-01;9.98698465e-01;9.97889926e-01;9.96674830e-01;9.94907416e-01;9.92420789e-01;9.89038984e-01;9.84596107e-01;9.78961776e-01;9.72070545e-01;9.63951723e-01;9.54755324e-01;9.44769570e-01;9.34425212e-01;9.24281740e-01;9.14990982e-01;9.07236056e-01;9.01649332e-01;8.98721487e-01;8.98721487e-01;9.01649332e-01;9.07236056e-01;9.14990982e-01;9.24281740e-01;9.34425212e-01;9.44769570e-01;9.54755324e-01;9.63951723e-01;9.72070545e-01;9.78961776e-01;9.84596107e-01;9.89038984e-01;9.92420789e-01;9.94907416e-01;9.96674830e-01;9.97889926e-01;9.98698465e-01;9.99219510e-01;9.99544888e-01;9.99741894e-01;9.99857604e-01;9.99923562e-01;9.99960069e-01;9.99979695e-01;9.99989948e-01;9.99995154e-01;9.99997725e-01;9.99998959e-01;9.99999536e-01;9.99999799e-01;9.99999915e-01;9.99999965e-01;9.99999986e-01;9.99999995e-01;1.00000000e+00
1.00000000e+00;9.99999988e-01;9.99999966e-01;9.99999917e-01;9.99999806e-01;9.99999561e-01;9.99999029e-01;9.99997908e-01;9.99995603e-01;9.99990986e-01;9.99981982e-01;9.99964885e-01;9.99933294e-01;9.99876506e-01;9.99777228e-01;9.99608509e-01;9.99329884e-01;9.98882983e-01;9.98187113e-01;9.97135775e-01;9.95595432e-01;9.93408108e-01;9.90399320e-01;9.86392329e-01;9.81228682e-01;9.74793758e-01;9.67044857e-01;9.58038620e-01;9.47954241e-01;9.37108758e-01;9.25960221e-01;9.15093770e-01;9.05185584e-01;8.96941816e-01;8.91015494e-01;8.87913383e-01;8.87913383e-01;8.91015494e-01;8.96941816e-01;9.05185584e-01;9.15093770e-01;9.25960221e-01;9.37108758e-01;9.47954241e-01;9.58038620e-01;9.67044857e-01;9.74793758e-01;9.81228682e-01;9.86392329e-01;9.90399320e-01;9.93408108e-01;9.95595432e-01;9.97135775e-01;9.98187113e-01;9.98882983e-01;9.99329884e-01;9.99608509e-01;9.99777228e-01;9.99876506e-01;9.99933294e-01;9.99964885e-01;9.99981982e-01;9.99990986e-01;9.99995603e-01;9.99997908e-01;9.99999029e-01;9.99999561e-01;9.99999806e-01;9.99999917e-01;9.99999966e-01;9.99999988e-01;1.00000000e+00
1.00000000e+00;9.99999971e-01;9.99999921e-01;9.99999816e-01;9.99999587e-01;9.99999101e-01;9.99998088e-01;9.99996027e-01;9.99991941e-01;9.99984041e-01;9.99969151e-01;9.99941800e-01;9.99892855e-01;9.99807554e-01;9.99662820e-01;9.99423827e-01;9.99039928e-01;9.98440310e-01;9.97530075e-01;9.96187803e-01;9.94265941e-01;9.91595460e-01;9.87995935e-01;9.83291525e-01;9.77332316e-01;9.70019448e-01;9.61331660e-01;9.51350591e-01;9.40282096e-01;9.28470550e-01;9.16402156e-01;9.04691914e-01;8.94048256e-01;8.85211270e-01;8.78866708e-01;8.75547935e-01;8.75547935e-01;8.78866708e-01;8.85211270e-01;8.94048256e-01;9.04691914e-01;9.16402156e-01;9.28470550e-01;9.40282096e-01;9.51350591e-01;9.61331660e-01;9.70019448e-01;9.77332316e-01;9.83291525e-01;9.87995935e-01;9.91595460e-01;9.94265941e-01;9.96187803e-01;9.97530075e-01;9.98440310e-01;9.99039928e-01;9.99423827e-01;9.99662820e-01;9.99807554e-01;9.99892855e-01;9.99941800e-01;9.99969151e-01;9.99984041e-01;9.99991941e-01;9.99996027e-01;9.99998088e-01;9.99999101e-01;9.99999587e-01;9.99999816e-01;9.99999921e-01;9.99999971e-01;1.00000000e+00
