A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 50
x_skip = 1
t_grid = 400
t_skip = 8
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999990e-01;9.99999954e-01;9.99999812e-01;9.99999274e-01;9.99997374e-01;9.99991117e-01;9.99971966e-01;9.99917623e-01;9.99775143e-01;9.99431228e-01;9.98670157e-01;9.97133430e-01;9.94317909e-01;9.89667726e-01;9.82799981e-01;9.73830850e-01;9.63658574e-01;9.53991048e-01;9.46961036e-01;9.44379384e-01;9.46961036e-01;9.53991048e-01;9.63658574e-01;9.73830850e-01;9.82799981e-01;9.89667726e-01;9.94317909e-01;9.97133430e-01;9.98670157e-01;9.99431228e-01;9.99775143e-01;9.99917623e-01;9.99971966e-01;9.99991117e-01;9.99997374e-01;9.99999274e-01;9.99999812e-01;9.99999954e-01;9.99999990e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999991e-01;9.99999964e-01;9.99999857e-01;9.99999467e-01;9.99998125e-01;9.99993804e-01;9.99980793e-01;9.99944246e-01;9.99848732e-01;9.99617190e-01;9.99098305e-01;9.98027490e-01;9.96001435e-01;9.92504490e-01;9.87031135e-01;9.79319797e-01;9.69642412e-01;9.59013753e-01;9.49153558e-01;9.42098170e-01;9.39528048e-01;9.42098170e-01;9.49153558e-01;9.59013753e-01;9.69642412e-01;9.79319797e-01;9.87031135e-01;9.92504490e-01;9.96001435e-01;9.98027490e-01;9.99098305e-01;9.99617190e-01;9.99848732e-01;9.99944246e-01;9.99980793e-01;9.99993804e-01;9.99998125e-01;9.99999467e-01;9.99999857e-01;9.99999964e-01;9.99999991e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999993e-01;9.99999972e-01;9.99999893e-01;9.99999612e-01;9.99998668e-01;9.99995686e-01;9.99986829e-01;9.99962160e-01;9.99897858e-01;9.99741411e-01;9.99387111e-01;9.98642628e-01;9.97196301e-01;9.94608961e-01;9.90366465e-01;9.84024273e-01;9.75439126e-01;9.65020630e-01;9.53880821e-01;9.43751317e-01;9.36598926e-01;9.34010684e-01;9.36598926e-01;9.43751317e-01;9.53880821e-01;9.65020630e-01;9.75439126e-01;9.84024273e-01;9.90366465e-01;9.94608961e-01;9.97196301e-01;9.98642628e-01;9.99387111e-01;9.99741411e-01;9.99897858e-01;9.99962160e-01;9.99986829e-01;9.99995686e-01;9.99998668e-01;9.99999612e-01;9.99999893e-01;9.99999972e-01;9.99999993e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999979e-01;9.99999921e-01;9.99999720e-01;9.99999058e-01;9.99997000e-01;9.99990960e-01;9.99974256e-01;9.99930812e-01;9.99824781e-01;9.99582511e-01;9.99065641e-01;9.98039071e-01;9.96147232e-01;9.92924229e-01;9.87869312e-01;9.80606010e-01;9.71104718e-01;9.59897912e-01;9.48182295e-01;9.37705491e-01;9.30388778e-01;9.27755486e-01;9.30388778e-01;9.37705491e-01;9.48182295e-01;9.59897912e-01;9.71104718e-01;9.80606010e-01;9.87869312e-01;9.92924229e-01;9.96147232e-01;9.98039071e-01;9.99065641e-01;9.99582511e-01;9.99824781e-01;9.99930812e-01;9.99974256e-01;9.99990960e-01;9.99997000e-01;9.99999058e-01;9.99999720e-01;9.99999921e-01;9.99999979e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999984e-01;9.99999942e-01;9.99999799e-01;9.99999336e-01;9.99997916e-01;9.99993790e-01;9.99982449e-01;9.99953008e-01;9.99880957e-01;9.99715066e-01;9.99356531e-01;9.98630954e-01;9.97259833e-01;9.94847836e-01;9.90911214e-01;9.84972467e-01;9.76727531e-01;9.66255004e-01;9.54198306e-01;9.41831225e-01;9.30924549e-01;9.23376466e-01;9.20672042e-01;9.23376466e-01;9.30924549e-01;9.41831225e-01;9.54198306e-01;9.66255004e-01;9.76727531e-01;9.84972467e-01;9.90911214e-01;9.94847836e-01;9.97259833e-01;9.98630954e-01;9.99356531e-01;9.99715066e-01;9.99880957e-01;9.99953008e-01;9.99982449e-01;9.99993790e-01;9.99997916e-01;9.99999336e-01;9.99999799e-01;9.99999942e-01;9.99999984e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00
1.00000000e+00;9.99999997e-01;9.99999988e-01;9.99999958e-01;9.99999856e-01;9.99999533e-01;9.99998552e-01;9.99995730e-01;9.99988012e-01;9.99968007e-01;9.99918935e-01;9.99805199e-01;9.99556619e-01;9.99045389e-01;9.98058351e-01;9.96273958e-01;9.93261893e-01;9.88528892e-01;9.81628614e-01;9.72331552e-01;9.60818633e-01;9.47834763e-01;9.34727193e-01;9.23299730e-01;9.15449687e-01;9.12647253e-01;9.15449687e-01;9.23299730e-01;9.34727193e-01;9.47834763e-01;9.60818633e-01;9.72331552e-01;9.81628614e-01;9.88528892e-01;9.93261893e-01;9.96273958e-01;9.98058351e-01;9.99045389e-01;9.99556619e-01;9.99805199e-01;9.99918935e-01;9.99968007e-01;9.99988012e-01;9.99995730e-01;9.99998552e-01;9.99999533e-01;9.99999856e-01;9.99999958e-01;9.99999988e-01;9.99999997e-01;1.00000000e+00
1.00000000e+00;9.99999992e-01;9.99999970e-01;9.99999898e-01;9.99999672e-01;9.99998995e-01;9.99997061e-01;9.99991798e-01;9.99978175e-01;9.99944685e-01;9.99866614e-01;9.99694312e-01;9.99334958e-01;9.98628137e-01;9.97319891e-01;9.95046804e-01;9.91348713e-01;9.85730411e-01;9.77782732e-01;9.67350961e-01;9.54712199e-01;9.40705442e-01;9.26751192e-01;9.14698990e-01;9.06468687e-01;9.03538878e-01;9.06468687e-01;9.14698990e-01;9.26751192e-01;9.40705442e-01;9.54712199e-01;9.67350961e-01;9.77782732e-01;9.85730411e-01;9.91348713e-01;9.95046804e-01;9.97319891e-01;9.98628137e-01;9.99334958e-01;9.99694312e-01;9.99866614e-01;9.99944685e-01;9.99978175e-01;9.99991798e-01;9.99997061e-01;9.99998995e-01;9.99999672e-01;9.99999898e-01;9.99999970e-01;9.99999992e-01;1.00000000e+00
1.00000000e+00;9.99999980e-01;9.99999928e-01;9.99999770e-01;9.99999302e-01;9.99997976e-01;9.99994380e-01;9.99985084e-01;9.99962188e-01;9.99908540e-01;9.99789119e-01;9.99536977e-01;9.99032913e-01;9.98080617e-01;9.96383940e-01;9.93539447e-01;9.89062364e-01;9.82462104e-01;9.73370742e-01;9.61706749e-01;9.47836892e-01;9.32688597e-01;9.17758610e-01;9.04958414e-01;8.96256714e-01;8.93165667e-01;8.96256714e-01;9.04958414e-01;9.17758610e-01;9.32688597e-01;9.47836892e-01;9.61706749e-01;9.73370742e-01;9.82462104e-01;9.89062364e-01;9.93539447e-01;9.96383940e-01;9.98080617e-01;9.99032913e-01;9.99536977e-01;9.99789119e-01;9.99908540e-01;9.99962188e-01;9.99985084e-01;9.99994380e-01;9.99997976e-01;9.99999302e-01;9.99999770e-01;9.99999928e-01;9.99999980e-01;1.00000000e+00
1.00000000e+00;9.99999953e-01;9.99999840e-01;9.99999516e-01;9.99998605e-01;9.99996144e-01;9.99989789e-01;9.99974111e-01;9.99937208e-01;9.99854435e-01;9.99677764e-01;9.99319484e-01;9.98630291e-01;9.97375057e-01;9.95214667e-01;9.91708018e-01;9.86350757e-01;9.78662198e-01;9.68317569e-01;9.55304925e-01;9.40073613e-01;9.23635276e-01;9.07569189e-01;8.93869607e-01;8.84585553e-01;8.81292224e-01;8.84585553e-01;8.93869607e-01;9.07569189e-01;9.23635276e-01;9.40073613e-01;9.55304925e-01;9.68317569e-01;9.78662198e-01;9.86350757e-01;9.91708018e-01;9.95214667e-01;9.97375057e-01;9.98630291e-01;9.99319484e-01;9.99677764e-01;9.99854435e-01;9.99937208e-01;9.99974111e-01;9.99989789e-01;9.99996144e-01;9.99998605e-01;9.99999516e-01;9.99999840e-01;9.99999953e-01;1.00000000e+00
1.00000000e+00;9.99999898e-01;9.99999667e-01;9.99999038e-01;9.99997351e-01;9.99993000e-01;9.99982249e-01;9.99956841e-01;9.99899462e-01;9.99775805e-01;9.99521824e-01;9.99025397e-01;9.98103487e-01;9.96479612e-01;9.93771462e-01;9.89502901e-01;9.83154508e-01;9.74259072e-01;9.62534341e-01;9.48031989e-01;9.31275819e-01;9.13358578e-01;8.95952029e-01;8.81160436e-01;8.71153025e-01;8.67605275e-01;8.71153025e-01;8.81160436e-01;8.95952029e-01;9.13358578e-01;9.31275819e-01;9.48031989e-01;9.62534341e-01;9.74259072e-01;9.83154508e-01;9.89502901e-01;9.93771462e-01;9.96479612e-01;9.98103487e-01;9.99025397e-01;9.99521824e-01;9.99775805e-01;9.99899462e-01;9.99956841e-01;9.99982249e-01;9.99993000e-01;9.99997351e-01;9.99999038e-01;9.99999667e-01;9.99999898e-01;1.00000000e+00
1.00000000e+00;9.99999792e-01;9.99999344e-01;9.99998181e-01;9.99995196e-01;9.99987814e-01;9.99970304e-01;9.99930522e-01;9.99844041e-01;9.99664389e-01;9.99308202e-01;9.98635176e-01;9.97425040e-01;9.95357823e-01;9.92008237e-01;9.86867763e-01;9.79405422e-01;9.69168788e-01;9.55914308e-01;9.39748201e-01;9.21258773e-01;9.01617328e-01;8.82602330e-01;8.66464481e-01;8.55546638e-01;8.51675074e-01;8.55546638e-01;8.66464481e-01;8.82602330e-01;9.01617328e-01;9.21258773e-01;9.39748201e-01;9.55914308e-01;9.69168788e-01;9.79405422e-01;9.86867763e-01;9.92008237e-01;9.95357823e-01;9.97425040e-01;9.98635176e-01;9.99308202e-01;9.99664389e-01;9.99844041e-01;9.99930522e-01;9.99970304e-01;9.99987814e-01;9.99995196e-01;9.99998181e-01;9.99999344e-01;9.99999792e-01;1.00000000e+00
