A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 35
x_skip = 1
t_grid = 400
t_skip = 8
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999973e-01;9.99999837e-01;9.99999091e-01;9.99995377e-01;9.99978676e-01;9.99911444e-01;9.99671424e-01;9.98920617e-01;9.96893499e-01;9.92260246e-01;9.83522445e-01;9.70420754e-01;9.55811233e-01;9.45746727e-01;9.45746727e-01;9.55811233e-01;9.70420754e-01;9.83522445e-01;9.92260246e-01;9.96893499e-01;9.98920617e-01;9.99671424e-01;9.99911444e-01;9.99978676e-01;9.99995377e-01;9.99999091e-01;9.99999837e-01;9.99999973e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999987e-01;9.99999924e-01;9.99999584e-01;9.99997895e-01;9.99990267e-01;9.99959094e-01;9.99844689e-01;9.99471185e-01;9.98398823e-01;9.95729858e-01;9.90075217e-01;9.80116159e-01;9.66028055e-01;9.51011388e-01;9.40963317e-01;9.40963317e-01;9.51011388e-01;9.66028055e-01;9.80116159e-01;9.90075217e-01;9.95729858e-01;9.98398823e-01;9.99471185e-01;9.99844689e-01;9.99959094e-01;9.99990267e-01;9.99997895e-01;9.99999584e-01;9.99999924e-01;9.99999987e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;9.99999999e-01;9.99999994e-01;9.99999965e-01;9.99999809e-01;9.99999037e-01;9.99995542e-01;9.99981076e-01;9.99926770e-01;9.99743215e-01;9.99189666e-01;9.97716595e-01;9.94304274e-01;9.87539314e-01;9.76309401e-01;9.61191491e-01;9.45672046e-01;9.35531762e-01;9.35531762e-01;9.45672046e-01;9.61191491e-01;9.76309401e-01;9.87539314e-01;9.94304274e-01;9.97716595e-01;9.99189666e-01;9.99743215e-01;9.99926770e-01;9.99981076e-01;9.99995542e-01;9.99999037e-01;9.99999809e-01;9.99999965e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00
1.00000000e+00;9.99999997e-01;9.99999984e-01;9.99999912e-01;9.99999558e-01;9.99997952e-01;9.99991232e-01;9.99965526e-01;9.99876106e-01;9.99595374e-01;9.98806809e-01;9.96845852e-01;9.92584051e-01;9.84615483e-01;9.72051595e-01;9.55839513e-01;9.39713386e-01;9.29380884e-01;9.29380884e-01;9.39713386e-01;9.55839513e-01;9.72051595e-01;9.84615483e-01;9.92584051e-01;9.96845852e-01;9.98806809e-01;9.99595374e-01;9.99876106e-01;9.99965526e-01;9.99991232e-01;9.99997952e-01;9.99999558e-01;9.99999912e-01;9.99999984e-01;9.99999997e-01;1.00000000e+00
1.00000000e+00;9.99999993e-01;9.99999959e-01;9.99999797e-01;9.99999057e-01;9.99995932e-01;9.99983787e-01;9.99940505e-01;9.99799987e-01;9.99387270e-01;9.98299852e-01;9.95755520e-01;9.90532361e-01;9.81260013e-01;9.67283611e-01;9.49892016e-01;9.33044352e-01;9.22421969e-01;9.22421969e-01;9.33044352e-01;9.49892016e-01;9.67283611e-01;9.81260013e-01;9.90532361e-01;9.95755520e-01;9.98299852e-01;9.99387270e-01;9.99799987e-01;9.99940505e-01;9.99983787e-01;9.99995932e-01;9.99999057e-01;9.99999797e-01;9.99999959e-01;9.99999993e-01;1.00000000e+00
1.00000000e+00;9.99999982e-01;9.99999906e-01;9.99999564e-01;9.99998110e-01;9.99992379e-01;9.99971531e-01;9.99901893e-01;9.99689550e-01;9.99102513e-01;9.97643014e-01;9.94410990e-01;9.88107479e-01;9.77421729e-01;9.61936480e-01;9.43257258e-01;9.25558083e-01;9.14544756e-01;9.14544756e-01;9.25558083e-01;9.43257258e-01;9.61936480e-01;9.77421729e-01;9.88107479e-01;9.94410990e-01;9.97643014e-01;9.99102513e-01;9.99689550e-01;9.99901893e-01;9.99971531e-01;9.99992379e-01;9.99998110e-01;9.99999564e-01;9.99999906e-01;9.99999982e-01;1.00000000e+00
1.00000000e+00;9.99999958e-01;9.99999799e-01;9.99999121e-01;9.99996419e-01;9.99986414e-01;9.99952168e-01;9.99844356e-01;9.99533939e-01;9.98721925e-01;9.96807097e-01;9.92773515e-01;9.85261926e-01;9.73040842e-01;9.55929311e-01;9.35827747e-01;9.17126010e-01;9.05611255e-01;9.05611255e-01;9.17126010e-01;9.35827747e-01;9.55929311e-01;9.73040842e-01;9.85261926e-01;9.92773515e-01;9.96807097e-01;9.98721925e-01;9.99533939e-01;9.99844356e-01;9.99952168e-01;9.99986414e-01;9.99996419e-01;9.99999121e-01;9.99999799e-01;9.99999958e-01;1.00000000e+00
1.00000000e+00;9.99999911e-01;9.99999592e-01;9.99998318e-01;9.99993529e-01;9.99976790e-01;9.99922621e-01;9.99761127e-01;9.99320017e-01;9.98223202e-01;9.95759047e-01;9.90799539e-01;9.81941439e-01;9.68047286e-01;9.49166166e-01;9.27474568e-01;9.07589677e-01;8.95446383e-01;8.95446383e-01;9.07589677e-01;9.27474568e-01;9.49166166e-01;9.68047286e-01;9.81941439e-01;9.90799539e-01;9.95759047e-01;9.98223202e-01;9.99320017e-01;9.99761127e-01;9.99922621e-01;9.99976790e-01;9.99993529e-01;9.99998318e-01;9.99999592e-01;9.99999911e-01;1.00000000e+00
1.00000000e+00;9.99999819e-01;9.99999212e-01;9.99996924e-01;9.99988781e-01;9.99961791e-01;9.99878860e-01;9.99643753e-01;9.99032054e-01;9.97580526e-01;9.94461426e-01;9.88439899e-01;9.78083643e-01;9.62358314e-01;9.41531478e-01;9.18039304e-01;8.96748875e-01;8.83823702e-01;8.83823702e-01;8.96748875e-01;9.18039304e-01;9.41531478e-01;9.62358314e-01;9.78083643e-01;9.88439899e-01;9.94461426e-01;9.97580526e-01;9.99032054e-01;9.99643753e-01;9.99878860e-01;9.99961791e-01;9.99988781e-01;9.99996924e-01;9.99999212e-01;9.99999819e-01;1.00000000e+00
1.00000000e+00;9.99999649e-01;9.99998543e-01;9.99994594e-01;9.99981237e-01;9.99939098e-01;9.99815701e-01;9.99481809e-01;9.98651356e-01;9.96764117e-01;9.92871806e-01;9.85638838e-01;9.73616247e-01;9.55874995e-01;9.32883281e-01;9.07322116e-01;8.84343697e-01;8.70443184e-01;8.70443184e-01;8.84343697e-01;9.07322116e-01;9.32883281e-01;9.55874995e-01;9.73616247e-01;9.85638838e-01;9.92871806e-01;9.96764117e-01;9.98651356e-01;9.99481809e-01;9.99815701e-01;9.99939098e-01;9.99981237e-01;9.99994594e-01;9.99998543e-01;9.99999649e-01;1.00000000e+00
