A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 25
x_skip = 1
t_grid = 71
t_skip = 1
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;9.99994569e-01;9.99971046e-01;9.99866650e-01;9.99458886e-01;9.98075474e-01;9.94042322e-01;9.84061595e-01;9.63319592e-01;9.27265803e-01;8.74983132e-01;8.14318591e-01;7.68606493e-01;7.68606493e-01;8.14318591e-01;8.74983132e-01;9.27265803e-01;9.63319592e-01;9.84061595e-01;9.94042322e-01;9.98075474e-01;9.99458886e-01;9.99866650e-01;9.99971046e-01;9.99994569e-01;1.00000000e+00
1.00000000e+00;9.99992458e-01;9.99961161e-01;9.99827212e-01;9.99321376e-01;9.97659106e-01;9.92956091e-01;9.81632204e-01;9.58629191e-01;9.19215124e-01;8.62159974e-01;7.95137454e-01;7.43541628e-01;7.43541628e-01;7.95137454e-01;8.62159974e-01;9.19215124e-01;9.58629191e-01;9.81632204e-01;9.92956091e-01;9.97659106e-01;9.99321376e-01;9.99827212e-01;9.99961161e-01;9.99992458e-01;1.00000000e+00
1.00000000e+00;9.99989646e-01;9.99948416e-01;9.99777979e-01;9.99154851e-01;9.97168880e-01;9.91709254e-01;9.78901558e-01;9.53423853e-01;9.10270339e-01;8.47643181e-01;7.72674386e-01;7.13180651e-01;7.13180651e-01;7.72674386e-01;8.47643181e-01;9.10270339e-01;9.53423853e-01;9.78901558e-01;9.91709254e-01;9.97168880e-01;9.99154851e-01;9.99777979e-01;9.99948416e-01;9.99989646e-01;1.00000000e+00
1.00000000e+00;9.99985939e-01;9.99932116e-01;9.99716934e-01;9.98954299e-01;9.96594188e-01;9.90282508e-01;9.75837064e-01;9.47641878e-01;9.00283858e-01;8.31026048e-01;7.45810870e-01;6.75164304e-01;6.75164304e-01;7.45810870e-01;8.31026048e-01;9.00283858e-01;9.47641878e-01;9.75837064e-01;9.90282508e-01;9.96594188e-01;9.98954299e-01;9.99716934e-01;9.99932116e-01;9.99985939e-01;1.00000000e+00
1.00000000e+00;9.99981096e-01;9.99911429e-01;9.99641723e-01;9.98714010e-01;9.95923188e-01;9.88654513e-01;9.72401977e-01;9.41209300e-01;8.89064436e-01;8.11731549e-01;7.12754129e-01;6.25171677e-01;6.25171677e-01;7.12754129e-01;8.11731549e-01;8.89064436e-01;9.41209300e-01;9.72401977e-01;9.88654513e-01;9.95923188e-01;9.98714010e-01;9.99641723e-01;9.99911429e-01;9.99981096e-01;1.00000000e+00
1.00000000e+00;9.99974822e-01;9.99885362e-01;9.99549606e-01;9.98427493e-01;9.95142672e-01;9.86801620e-01;9.68554438e-01;9.34035736e-01;8.76357311e-01;7.88902071e-01;6.70374870e-01;5.54012849e-01;5.54012849e-01;6.70374870e-01;7.88902071e-01;8.76357311e-01;9.34035736e-01;9.68554438e-01;9.86801620e-01;9.95142672e-01;9.98427493e-01;9.99549606e-01;9.99885362e-01;9.99974822e-01;1.00000000e+00
1.00000000e+00;9.99966759e-01;9.99852735e-01;9.99437407e-01;9.98087390e-01;9.94237929e-01;9.84697531e-01;9.64246139e-01;9.26008269e-01;8.61811380e-01;7.61181736e-01;6.12488148e-01;4.36613151e-01;4.36613151e-01;6.12488148e-01;7.61181736e-01;8.61811380e-01;9.26008269e-01;9.64246139e-01;9.84697531e-01;9.94237929e-01;9.98087390e-01;9.99437407e-01;9.99852735e-01;9.99966759e-01;1.00000000e+00
1.00000000e+00;9.99956473e-01;9.99812151e-01;9.99301456e-01;9.97685383e-01;9.93192577e-01;9.82312851e-01;9.59420456e-01;9.16982088e-01;8.44921175e-01;7.26230958e-01;5.24184683e-01;1.60928523e-01;1.60928523e-01;5.24184683e-01;7.26230958e-01;8.44921175e-01;9.16982088e-01;9.59420456e-01;9.82312851e-01;9.93192577e-01;9.97685383e-01;9.99301456e-01;9.99812151e-01;9.99956473e-01;1.00000000e+00
1.00000000e+00;9.99943444e-01;9.99761965e-01;9.99137527e-01;9.97212082e-01;9.91988366e-01;9.79614503e-01;9.54009750e-01;9.06765449e-01;8.24914158e-01;6.79421935e-01;3.53359219e-01;-1.22144489e+00;-1.22144489e+00;3.53359219e-01;6.79421935e-01;8.24914158e-01;9.06765449e-01;9.54009750e-01;9.79614503e-01;9.91988366e-01;9.97212082e-01;9.99137527e-01;9.99761965e-01;9.99943444e-01;1.00000000e+00
1.00000000e+00;9.99927046e-01;9.99700249e-01;9.98940770e-01;9.96656910e-01;9.90604947e-01;9.76564918e-01;9.47931326e-01;8.95093711e-01;8.00497202e-01;6.08926388e-01;-2.95548361e-01;-8.06068610e-01;-8.06068610e-01;-2.95548361e-01;6.08926388e-01;8.00497202e-01;8.95093711e-01;9.47931326e-01;9.76564918e-01;9.90604947e-01;9.96656910e-01;9.98940770e-01;9.99700249e-01;9.99927046e-01;1.00000000e+00
1.00000000e+00;9.99906537e-01;9.99624746e-01;9.98705628e-01;9.96007974e-01;9.89019581e-01;9.73120894e-01;9.41081091e-01;8.81579254e-01;7.69106473e-01;4.58171648e-01;-3.21988488e+00;-6.82671109e-01;-6.82671109e-01;-3.21988488e+00;4.58171648e-01;7.69106473e-01;8.81579254e-01;9.41081091e-01;9.73120894e-01;9.89019581e-01;9.96007974e-01;9.98705628e-01;9.99624746e-01;9.99906537e-01;1.00000000e+00
1.00000000e+00;9.99881034e-01;9.99532831e-01;9.98425759e-01;9.95251906e-01;9.87206758e-01;9.69231938e-01;9.33322779e-01;8.65591928e-01;7.22654628e-01;-8.74304140e-02;1.02440364e+00;-8.82755697e-01;-8.82755697e-01;1.02440364e+00;-8.74304140e-02;7.22654628e-01;8.65591928e-01;9.33322779e-01;9.69231938e-01;9.87206758e-01;9.95251906e-01;9.98425759e-01;9.99532831e-01;9.99881034e-01;1.00000000e+00
