A one-dimensional setting of the electrical breakdown problem

adaptation_type = 0
delta = 0.001
dt_max = 6e-6
duration = 2e-3
l = 1.5e-06
m = 12
q = 20e-9
t_grid = 1000000
t_skip = 512
tol_energy = 1.5e-10
tol_phi = 1.4e-5
tol_stability = 1.1e-2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999980e-01;9.99999423e-01;9.99986058e-01;9.99729266e-01;9.96011255e-01;9.59478073e-01;7.64823964e-01;5.07895002e-01;3.40246753e-01;2.60728245e-01;2.38038660e-01;2.60728245e-01;3.40246753e-01;5.07895002e-01;7.64823964e-01;9.59478073e-01;9.96011255e-01;9.99729266e-01;9.99986058e-01;9.99999423e-01;9.99999980e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.27206336e-03;1.03668898e-04;1.16371786e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999966e-01;9.99999089e-01;9.99979887e-01;9.99642614e-01;9.95170591e-01;9.54773928e-01;7.54850315e-01;4.94283198e-01;3.26322303e-01;2.47670253e-01;2.25400446e-01;2.47670253e-01;3.26322303e-01;4.94283198e-01;7.54850315e-01;9.54773928e-01;9.95170591e-01;9.99642614e-01;9.99979887e-01;9.99999089e-01;9.99999966e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.18492092e-03;1.06848458e-04;1.18622114e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999943e-01;9.99998622e-01;9.99971966e-01;9.99540592e-01;9.94261252e-01;9.50073648e-01;7.45398029e-01;4.81667114e-01;3.13548399e-01;2.35757916e-01;2.13892477e-01;2.35757916e-01;3.13548399e-01;4.81667114e-01;7.45398029e-01;9.50073648e-01;9.94261252e-01;9.99540592e-01;9.99971966e-01;9.99998622e-01;9.99999943e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.10911448e-03;1.09736958e-04;1.20660606e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999911e-01;9.99997988e-01;9.99962044e-01;9.99422544e-01;9.93287634e-01;9.45390568e-01;7.36403636e-01;4.69908298e-01;3.01759923e-01;2.24822778e-01;2.03347058e-01;2.24822778e-01;3.01759923e-01;4.69908298e-01;7.36403636e-01;9.45390568e-01;9.93287634e-01;9.99422544e-01;9.99962044e-01;9.99997988e-01;9.99999911e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.04240201e-03;1.12373286e-04;1.22522737e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999864e-01;9.99997150e-01;9.99949874e-01;9.99287960e-01;9.92254186e-01;9.40735394e-01;7.27815198e-01;4.58896250e-01;2.90826278e-01;2.14732200e-01;1.93632334e-01;2.14732200e-01;2.90826278e-01;4.58896250e-01;7.27815198e-01;9.40735394e-01;9.92254186e-01;9.99287960e-01;9.99949874e-01;9.99997150e-01;9.99999864e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.98311412e-03;1.14788950e-04;1.24236132e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999991e-01;9.99999800e-01;9.99996069e-01;9.99935210e-01;9.99136465e-01;9.91165343e-01;9.36116684e-01;7.19589587e-01;4.48541291e-01;2.80642268e-01;2.05379754e-01;1.84642635e-01;2.05379754e-01;2.80642268e-01;4.48541291e-01;7.19589587e-01;9.36116684e-01;9.91165343e-01;9.99136465e-01;9.99935210e-01;9.99996069e-01;9.99999800e-01;9.99999991e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.92997896e-03;1.17009889e-04;1.25822684e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999987e-01;9.99999714e-01;9.99994702e-01;9.99917817e-01;9.98967814e-01;9.90025469e-01;9.31541233e-01;7.11690539e-01;4.38769596e-01;2.71121805e-01;1.96678637e-01;1.76291871e-01;1.96678637e-01;2.71121805e-01;4.38769596e-01;7.11690539e-01;9.31541233e-01;9.90025469e-01;9.98967814e-01;9.99917817e-01;9.99994702e-01;9.99999714e-01;9.99999987e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.88200838e-03;1.19057743e-04;1.27300001e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999980e-01;9.99999599e-01;9.99993004e-01;9.99897468e-01;9.98781878e-01;9.88838821e-01;9.27014381e-01;7.04087246e-01;4.29519628e-01;2.62193465e-01;1.88557042e-01;1.68508898e-01;1.88557042e-01;2.62193465e-01;4.29519628e-01;7.04087246e-01;9.27014381e-01;9.88838821e-01;9.98781878e-01;9.99897468e-01;9.99993004e-01;9.99999599e-01;9.99999980e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.83842158e-03;1.20950778e-04;1.28682429e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999971e-01;9.99999452e-01;9.99990926e-01;9.99873947e-01;9.98578639e-01;9.87609517e-01;9.22540265e-01;6.96753295e-01;4.20739533e-01;2.53797268e-01;1.80954819e-01;1.61234174e-01;1.80954819e-01;2.53797268e-01;4.20739533e-01;6.96753295e-01;9.22540265e-01;9.87609517e-01;9.98578639e-01;9.99873947e-01;9.99990926e-01;9.99999452e-01;9.99999971e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.79859242e-03;1.22704563e-04;1.29981787e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999960e-01;9.99999263e-01;9.99988420e-01;9.99847055e-01;9.98358176e-01;9.86341515e-01;9.18122033e-01;6.89665867e-01;4.12385196e-01;2.45882302e-01;1.73821022e-01;1.54417314e-01;1.73821022e-01;2.45882302e-01;4.12385196e-01;6.89665867e-01;9.18122033e-01;9.86341515e-01;9.98358176e-01;9.99847055e-01;9.99988420e-01;9.99999263e-01;9.99999960e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.76201221e-03;1.24332495e-04;1.31207911e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999944e-01;9.99999027e-01;9.99985436e-01;9.99816605e-01;9.98120657e-01;9.85038600e-01;9.13762010e-01;6.82805110e-01;4.04418758e-01;2.38404931e-01;1.67112072e-01;1.48015255e-01;1.67112072e-01;2.38404931e-01;4.04418758e-01;6.82805110e-01;9.13762010e-01;9.85038600e-01;9.98120657e-01;9.99816605e-01;9.99985436e-01;9.99999027e-01;9.99999944e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.72826290e-03;1.25846188e-04;1.32369058e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999924e-01;9.99998736e-01;9.99981921e-01;9.99782427e-01;9.97866331e-01;9.83704372e-01;9.09461840e-01;6.76153648e-01;3.96807477e-01;2.31327432e-01;1.60790360e-01;1.41990858e-01;1.60790360e-01;2.31327432e-01;3.96807477e-01;6.76153648e-01;9.09461840e-01;9.83704372e-01;9.97866331e-01;9.99782427e-01;9.99981921e-01;9.99998736e-01;9.99999924e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.69699737e-03;1.27255785e-04;1.33472218e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999898e-01;9.99998379e-01;9.99977823e-01;9.99744368e-01;9.97595513e-01;9.82342240e-01;9.05222608e-01;6.69696190e-01;3.89522836e-01;2.24616939e-01;1.54823164e-01;1.36311840e-01;1.54823164e-01;2.24616939e-01;3.89522836e-01;6.69696190e-01;9.05222608e-01;9.82342240e-01;9.97595513e-01;9.99744368e-01;9.99977823e-01;9.99998379e-01;9.99999898e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.66792476e-03;1.28570202e-04;1.34523344e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999992e-01;9.99999865e-01;9.99997950e-01;9.99973091e-01;9.99702292e-01;9.97308582e-01;9.80955425e-01;9.01044938e-01;6.63419215e-01;3.82539840e-01;2.18244608e-01;1.49181809e-01;1.30949929e-01;1.49181809e-01;2.18244608e-01;3.82539840e-01;6.63419215e-01;9.01044938e-01;9.80955425e-01;9.97308582e-01;9.99702292e-01;9.99973091e-01;9.99997950e-01;9.99999865e-01;9.99999992e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.64079927e-03;1.29797321e-04;1.35527546e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999989e-01;9.99999824e-01;9.99997436e-01;9.99967673e-01;9.99656080e-01;9.97005969e-01;9.79546956e-01;8.96929072e-01;6.57310712e-01;3.75836446e-01;2.12184965e-01;1.43840999e-01;1.25880204e-01;1.43840999e-01;2.12184965e-01;3.75836446e-01;6.57310712e-01;8.96929072e-01;9.79546956e-01;9.97005969e-01;9.99656080e-01;9.99967673e-01;9.99997436e-01;9.99999824e-01;9.99999989e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.61541162e-03;1.30944148e-04;1.36489235e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999986e-01;9.99999774e-01;9.99996829e-01;9.99961519e-01;9.99605632e-01;9.96688149e-01;9.78119674e-01;8.92874941e-01;6.51359969e-01;3.69393114e-01;2.06415376e-01;1.38778283e-01;1.21080563e-01;1.38778283e-01;2.06415376e-01;3.69393114e-01;6.51359969e-01;8.92874941e-01;9.78119674e-01;9.96688149e-01;9.99605632e-01;9.99961519e-01;9.99996829e-01;9.99999774e-01;9.99999986e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.59158241e-03;1.32016941e-04;1.37412237e-03
