A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 1.28e-8
duration = 2e-3
l = 1.5e-06
m = 12
t_grid = 20000000
t_skip = 4096
tol_energy = 2e-7
tol_phi = 5e-4
tol_stability = 0.2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932161e-01;9.94316515e-01;9.81626750e-01;9.66444606e-01;9.54287111e-01;9.49653827e-01;9.54287111e-01;9.66444606e-01;9.81626750e-01;9.94316515e-01;9.99932161e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472768e-02;4.41133099e-07;9.92775345e-06;8.52432901e+01;6.40563991e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932151e-01;9.94315639e-01;9.81622634e-01;9.66431226e-01;9.54259564e-01;9.49618881e-01;9.54259564e-01;9.66431226e-01;9.81622634e-01;9.94315639e-01;9.99932151e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472876e-02;4.41714331e-07;9.93830838e-06;8.53905937e+01;6.41656867e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932141e-01;9.94314764e-01;9.81618517e-01;9.66417835e-01;9.54231976e-01;9.49583875e-01;9.54231976e-01;9.66417835e-01;9.81618517e-01;9.94314764e-01;9.99932141e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472985e-02;4.42296953e-07;9.94888387e-06;8.55383251e+01;6.42715048e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932131e-01;9.94313888e-01;9.81614399e-01;9.66404431e-01;9.54204347e-01;9.49548808e-01;9.54204347e-01;9.66404431e-01;9.81614399e-01;9.94313888e-01;9.99932131e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473094e-02;4.42880972e-07;9.95947999e-06;8.56864860e+01;6.43773229e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932121e-01;9.94313012e-01;9.81610279e-01;9.66391016e-01;9.54176678e-01;9.49513681e-01;9.54176678e-01;9.66391016e-01;9.81610279e-01;9.94313012e-01;9.99932121e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473204e-02;4.43466392e-07;9.97009680e-06;8.58350782e+01;6.44831410e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932111e-01;9.94312136e-01;9.81606157e-01;9.66377589e-01;9.54148968e-01;9.49478492e-01;9.54148968e-01;9.66377589e-01;9.81606157e-01;9.94312136e-01;9.99932111e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473313e-02;4.44053218e-07;9.98073437e-06;8.59841034e+01;6.45941634e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932101e-01;9.94311260e-01;9.81602034e-01;9.66364150e-01;9.54121218e-01;9.49443243e-01;9.54121218e-01;9.66364150e-01;9.81602034e-01;9.94311260e-01;9.99932101e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473423e-02;4.44641456e-07;9.99139274e-06;8.61335634e+01;6.47034509e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932091e-01;9.94310383e-01;9.81597909e-01;9.66350699e-01;9.54093426e-01;9.49407932e-01;9.54093426e-01;9.66350699e-01;9.81597909e-01;9.94310383e-01;9.99932091e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473533e-02;4.45231110e-07;1.00020720e-05;8.62834600e+01;6.48162080e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932081e-01;9.94309507e-01;9.81593783e-01;9.66337236e-01;9.54065593e-01;9.49372559e-01;9.54065593e-01;9.66337236e-01;9.81593783e-01;9.94309507e-01;9.99932081e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473644e-02;4.45822186e-07;1.00127722e-05;8.64337949e+01;6.49185566e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932071e-01;9.94308630e-01;9.81589655e-01;9.66323761e-01;9.54037719e-01;9.49337125e-01;9.54037719e-01;9.66323761e-01;9.81589655e-01;9.94308630e-01;9.99932071e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16473754e-02;4.46414688e-07;1.00234934e-05;8.65845700e+01;6.50295789e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
