iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
101 1.010000e-08 1.000000e-10 3.655587e+04 2.736584e-08 4.487438e-15
102 1.020000e-08 1.000000e-10 3.656983e+04 2.735539e-08 4.487436e-15
103 1.030000e-08 1.000000e-10 3.658380e+04 2.734494e-08 4.487434e-15
104 1.040000e-08 1.000000e-10 3.659778e+04 2.733450e-08 4.487432e-15
105 1.050000e-08 1.000000e-10 3.661176e+04 2.732406e-08 4.487430e-15
106 1.060000e-08 1.000000e-10 3.662575e+04 2.731363e-08 4.487428e-15
107 1.070000e-08 1.000000e-10 3.663974e+04 2.730319e-08 4.487426e-15
108 1.080000e-08 1.000000e-10 3.665374e+04 2.729277e-08 4.487424e-15
109 1.090000e-08 1.000000e-10 3.666774e+04 2.728234e-08 4.487422e-15
110 1.100000e-08 1.000000e-10 3.668175e+04 2.727193e-08 4.487421e-15
111 1.110000e-08 1.000000e-10 3.669577e+04 2.726151e-08 4.487419e-15
112 1.120000e-08 1.000000e-10 3.670978e+04 2.725110e-08 4.487417e-15
113 1.130000e-08 1.000000e-10 3.672381e+04 2.724069e-08 4.487415e-15
114 1.140000e-08 1.000000e-10 3.673784e+04 2.723029e-08 4.487413e-15
115 1.150000e-08 1.000000e-10 3.675187e+04 2.721989e-08 4.487411e-15
116 1.160000e-08 1.000000e-10 3.676591e+04 2.720950e-08 4.487409e-15
117 1.170000e-08 1.000000e-10 3.677995e+04 2.719911e-08 4.487407e-15
118 1.180000e-08 1.000000e-10 3.679400e+04 2.718872e-08 4.487405e-15
119 1.190000e-08 1.000000e-10 3.680806e+04 2.717834e-08 4.487403e-15
120 1.200000e-08 1.000000e-10 3.682212e+04 2.716796e-08 4.487401e-15
121 1.210000e-08 1.000000e-10 3.683618e+04 2.715759e-08 4.487399e-15
122 1.220000e-08 1.000000e-10 3.685025e+04 2.714722e-08 4.487397e-15
123 1.230000e-08 1.000000e-10 3.686433e+04 2.713686e-08 4.487395e-15
124 1.240000e-08 1.000000e-10 3.687841e+04 2.712650e-08 4.487393e-15
125 1.250000e-08 1.000000e-10 3.689249e+04 2.711614e-08 4.487392e-15
126 1.260000e-08 1.000000e-10 3.690658e+04 2.710579e-08 4.487390e-15
127 1.270000e-08 1.000000e-10 3.692068e+04 2.709544e-08 4.487388e-15
128 1.280000e-08 1.000000e-10 3.693478e+04 2.708509e-08 4.487386e-15
129 1.290000e-08 1.000000e-10 3.694889e+04 2.707475e-08 4.487384e-15
130 1.300000e-08 1.000000e-10 3.696300e+04 2.706441e-08 4.487382e-15
131 1.310000e-08 1.000000e-10 3.697712e+04 2.705408e-08 4.487380e-15
132 1.320000e-08 1.000000e-10 3.699124e+04 2.704375e-08 4.487378e-15
133 1.330000e-08 1.000000e-10 3.700537e+04 2.703343e-08 4.487376e-15
134 1.340000e-08 1.000000e-10 3.701950e+04 2.702311e-08 4.487374e-15
135 1.350000e-08 1.000000e-10 3.703364e+04 2.701279e-08 4.487372e-15
136 1.360000e-08 1.000000e-10 3.704778e+04 2.700248e-08 4.487370e-15
137 1.370000e-08 1.000000e-10 3.706193e+04 2.699217e-08 4.487368e-15
138 1.380000e-08 1.000000e-10 3.707608e+04 2.698187e-08 4.487366e-15
139 1.390000e-08 1.000000e-10 3.709024e+04 2.697157e-08 4.487364e-15
140 1.400000e-08 1.000000e-10 3.710440e+04 2.696127e-08 4.487362e-15
141 1.410000e-08 1.000000e-10 3.711857e+04 2.695098e-08 4.487360e-15
142 1.420000e-08 1.000000e-10 3.713274e+04 2.694069e-08 4.487358e-15
143 1.430000e-08 1.000000e-10 3.714692e+04 2.693041e-08 4.487356e-15
144 1.440000e-08 1.000000e-10 3.716111e+04 2.692013e-08 4.487354e-15
