iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
102 6.810086e-07 2.629824e-09 3.837318e+05 2.629824e-09 4.420986e-15
103 6.836146e-07 2.605987e-09 3.872138e+05 2.605987e-09 4.420214e-15
104 6.861971e-07 2.582553e-09 3.906997e+05 2.582553e-09 4.419441e-15
105 6.887566e-07 2.559510e-09 3.941897e+05 2.559510e-09 4.418667e-15
106 6.912935e-07 2.536850e-09 3.976839e+05 2.536850e-09 4.417893e-15
107 6.938081e-07 2.514560e-09 4.011825e+05 2.514560e-09 4.417117e-15
108 6.963007e-07 2.492631e-09 4.046855e+05 2.492631e-09 4.416340e-15
109 6.987717e-07 2.471055e-09 4.081932e+05 2.471055e-09 4.415562e-15
110 7.000000e-07 1.228258e-09 4.117057e+05 2.449820e-09 4.414783e-15
111 7.024289e-07 2.428919e-09 4.134686e+05 2.428919e-09 4.414392e-15
112 7.048475e-07 2.418563e-09 4.169736e+05 2.418563e-09 4.413616e-15
113 7.072457e-07 2.398233e-09 4.204986e+05 2.398233e-09 4.412835e-15
114 7.096238e-07 2.378129e-09 4.240290e+05 2.378129e-09 4.412053e-15
115 7.119822e-07 2.358329e-09 4.275648e+05 2.358329e-09 4.411270e-15
116 7.143210e-07 2.338827e-09 4.311062e+05 2.338827e-09 4.410486e-15
117 7.166406e-07 2.319614e-09 4.346534e+05 2.319614e-09 4.409701e-15
118 7.189413e-07 2.300684e-09 4.382064e+05 2.300684e-09 4.408916e-15
119 7.212233e-07 2.282030e-09 4.417654e+05 2.282030e-09 4.408130e-15
120 7.234870e-07 2.263645e-09 4.453306e+05 2.263645e-09 4.407343e-15
121 7.257325e-07 2.245523e-09 4.489021e+05 2.245523e-09 4.406555e-15
122 7.279602e-07 2.227657e-09 4.524800e+05 2.227657e-09 4.405767e-15
123 7.301702e-07 2.210042e-09 4.560645e+05 2.210042e-09 4.404978e-15
124 7.323629e-07 2.192672e-09 4.596558e+05 2.192672e-09 4.404188e-15
125 7.345384e-07 2.175541e-09 4.632539e+05 2.175541e-09 4.403397e-15
126 7.366971e-07 2.158644e-09 4.668590e+05 2.158644e-09 4.402606e-15
127 7.388390e-07 2.141974e-09 4.704712e+05 2.141974e-09 4.401814e-15
128 7.409646e-07 2.125529e-09 4.740908e+05 2.125529e-09 4.401022e-15
129 7.430739e-07 2.109301e-09 4.777177e+05 2.109301e-09 4.400229e-15
130 7.451671e-07 2.093286e-09 4.813523e+05 2.093286e-09 4.399435e-15
131 7.472446e-07 2.077480e-09 4.849946e+05 2.077480e-09 4.398641e-15
132 7.493065e-07 2.061879e-09 4.886447e+05 2.061879e-09 4.397846e-15
133 7.513530e-07 2.046477e-09 4.923028e+05 2.046477e-09 4.397051e-15
134 7.533842e-07 2.031270e-09 4.959691e+05 2.031270e-09 4.396255e-15
135 7.554005e-07 2.016255e-09 4.996437e+05 2.016255e-09 4.395459e-15
136 7.574019e-07 2.001426e-09 5.033266e+05 2.001426e-09 4.394663e-15
137 7.593887e-07 1.986781e-09 5.070182e+05 1.986781e-09 4.393865e-15
138 7.613610e-07 1.972316e-09 5.107185e+05 1.972316e-09 4.393068e-15
139 7.633191e-07 1.958026e-09 5.144276e+05 1.958026e-09 4.392270e-15
140 7.652630e-07 1.943908e-09 5.181457e+05 1.943908e-09 4.391471e-15
141 7.671929e-07 1.929959e-09 5.218730e+05 1.929959e-09 4.390673e-15
142 7.691091e-07 1.916175e-09 5.256095e+05 1.916175e-09 4.389874e-15
143 7.710116e-07 1.902553e-09 5.293555e+05 1.902553e-09 4.389074e-15
144 7.729007e-07 1.889090e-09 5.332235e+05 1.889090e-09 4.388274e-15
145 7.747761e-07 1.875386e-09 5.371172e+05 1.875386e-09 4.387474e-15
146 7.766379e-07 1.861791e-09 5.410233e+05 1.861791e-09 4.386674e-15
147 7.784863e-07 1.848349e-09 5.449419e+05 1.848349e-09 4.385874e-15
148 7.803213e-07 1.835058e-09 5.488730e+05 1.835058e-09 4.385074e-15
149 7.821432e-07 1.821915e-09 5.528169e+05 1.821915e-09 4.384274e-15
150 7.839522e-07 1.808917e-09 5.567738e+05 1.808917e-09 4.383473e-15
151 7.857482e-07 1.796062e-09 5.607437e+05 1.796062e-09 4.382673e-15
152 7.875316e-07 1.783346e-09 5.647270e+05 1.783346e-09 4.381873e-15
153 7.893023e-07 1.770767e-09 5.687236e+05 1.770767e-09 4.381073e-15
154 7.910607e-07 1.758323e-09 5.727339e+05 1.758323e-09 4.380272e-15
155 7.928067e-07 1.746012e-09 5.767579e+05 1.746012e-09 4.379472e-15
156 7.945405e-07 1.733830e-09 5.807959e+05 1.733830e-09 4.378672e-15
157 7.962623e-07 1.721775e-09 5.848480e+05 1.721775e-09 4.377873e-15
158 7.979721e-07 1.709846e-09 5.889144e+05 1.709846e-09 4.377073e-15
159 7.996702e-07 1.698040e-09 5.929952e+05 1.698040e-09 4.376274e-15
160 8.000000e-07 3.298449e-10 5.970907e+05 1.686354e-09 4.375474e-15
161 8.016748e-07 1.674787e-09 5.978935e+05 1.674787e-09 4.375318e-15
162 8.033473e-07 1.672539e-09 6.019839e+05 1.672539e-09 4.374524e-15
163 8.050085e-07 1.661174e-09 6.061119e+05 1.661174e-09 4.373725e-15
164 8.066584e-07 1.649860e-09 6.102552e+05 1.649860e-09 4.372926e-15
165 8.082970e-07 1.638659e-09 6.144139e+05 1.638659e-09 4.372128e-15
166 8.099246e-07 1.627567e-09 6.185882e+05 1.627567e-09 4.371330e-15
167 8.115412e-07 1.616584e-09 6.227781e+05 1.616584e-09 4.370533e-15
168 8.131469e-07 1.605708e-09 6.269839e+05 1.605708e-09 4.369736e-15
169 8.147418e-07 1.594937e-09 6.312058e+05 1.594937e-09 4.368939e-15
170 8.163261e-07 1.584269e-09 6.354440e+05 1.584269e-09 4.368142e-15
171 8.178998e-07 1.573703e-09 6.396985e+05 1.573703e-09 4.367346e-15
172 8.194630e-07 1.563236e-09 6.439697e+05 1.563236e-09 4.366550e-15
173 8.210159e-07 1.552868e-09 6.482577e+05 1.552868e-09 4.365755e-15
174 8.225585e-07 1.542597e-09 6.525626e+05 1.542597e-09 4.364960e-15
175 8.240909e-07 1.532420e-09 6.568846e+05 1.532420e-09 4.364166e-15
176 8.256132e-07 1.522337e-09 6.612240e+05 1.522337e-09 4.363372e-15
177 8.271256e-07 1.512347e-09 6.655810e+05 1.512347e-09 4.362579e-15
178 8.286280e-07 1.502447e-09 6.699556e+05 1.502447e-09 4.361786e-15
179 8.301207e-07 1.492636e-09 6.743481e+05 1.492636e-09 4.360994e-15
180 8.316036e-07 1.482914e-09 6.787586e+05 1.482914e-09 4.360202e-15
181 8.330769e-07 1.473278e-09 6.831874e+05 1.473278e-09 4.359411e-15
182 8.345406e-07 1.463727e-09 6.876347e+05 1.463727e-09 4.358620e-15
183 8.359949e-07 1.454261e-09 6.921006e+05 1.454261e-09 4.357830e-15
184 8.374397e-07 1.444877e-09 6.965853e+05 1.444877e-09 4.357041e-15
185 8.388753e-07 1.435574e-09 7.010890e+05 1.435574e-09 4.356252e-15
186 8.403017e-07 1.426352e-09 7.056119e+05 1.426352e-09 4.355465e-15
187 8.417189e-07 1.417210e-09 7.101542e+05 1.417210e-09 4.354677e-15
188 8.431270e-07 1.408145e-09 7.147162e+05 1.408145e-09 4.353891e-15
189 8.445262e-07 1.399157e-09 7.192978e+05 1.399157e-09 4.353105e-15
